feature,OR_mle,CI_lo_mle,CI_hi_mle,p_mle,OR_firth,CI_lo_firth,CI_hi_firth,p_firth,rank_biserial,cohens_d,or_dist,direction,p_mle_fdr,p_firth_fdr,sig_mle_fdr,sig_firth_fdr
Attr26,0.6286,0.5518,0.7162,2.9913952883123686e-12,0.63,0.553,0.7176,3.5276226384439724e-12,0.2962,-0.1794,0.3713929560326473,risk-reducing,6.196461668647049e-12,7.055245276887945e-12,True,True
Attr16,0.6304,0.5517,0.7203,1.193973224797253e-11,0.632,0.5532,0.722,1.4338530363033897e-11,0.2961,-0.1768,0.3696293526603832,risk-reducing,2.3083482346080225e-11,2.772115870186553e-11,True,True
total_liabilities_to_assets,1.3683,1.3039,1.4358,2.9287485236628798e-37,1.3686,1.3042,1.4361,0.0,-0.1877,0.3753,0.368290493240335,risk-increasing,1.061671339827794e-36,0.0,True,True
Attr51,1.3658,1.2999,1.4351,4.952253837853811e-35,1.3661,1.3001,1.4353,0.0,-0.1771,0.3627,0.3658010066067148,risk-increasing,1.5957262366417834e-34,0.0,True,True
Attr35,0.6461,0.6144,0.6795,9.455113813314827e-65,0.6461,0.6143,0.6794,0.0,0.2722,-0.4976,0.35387661124352365,risk-reducing,5.4839660117226e-63,0.0,True,True
Attr22,0.6879,0.6523,0.7254,1.98572406566845e-43,0.6878,0.6523,0.7253,0.0,0.2251,-0.399,0.3121154723259787,risk-reducing,1.151719958087701e-42,0.0,True,True
Attr14,0.6944,0.66,0.7306,5.994709809381779e-45,0.6943,0.6599,0.7305,0.0,0.2506,-0.4097,0.305627804198607,risk-reducing,4.496205716527887e-44,0.0,True,True
ebit_to_assets,0.6944,0.66,0.7306,5.994728668885244e-45,0.6943,0.6599,0.7305,0.0,0.2506,-0.4097,0.30562780077855256,risk-reducing,4.496205716527887e-44,0.0,True,True
Attr18,0.6944,0.66,0.7306,6.201663057279843e-45,0.6943,0.6599,0.7305,0.0,0.2506,-0.4096,0.3056277177208696,risk-reducing,4.496205716527887e-44,0.0,True,True
net_profit_to_assets,0.7016,0.6681,0.7368,9.40169058014921e-46,0.7015,0.668,0.7366,0.0,0.2477,-0.4164,0.2984170378252802,risk-reducing,1.0905961072973082e-44,0.0,True,True
Attr62,1.2937,1.2403,1.3495,5.0366808104882784e-33,1.2942,1.2408,1.3499,0.0,-0.185,0.3598,0.29373621605721345,risk-increasing,1.3910832714681912e-32,0.0,True,True
working_capital_to_assets,0.7089,0.6724,0.7473,2.2571495932012213e-37,0.7088,0.6724,0.7472,0.0,0.1966,-0.3729,0.29111924795501665,risk-reducing,8.727645093711389e-37,0.0,True,True
Attr11,0.7092,0.6726,0.7478,6.491676716780598e-37,0.7091,0.6725,0.7478,0.0,0.2265,-0.367,0.2907975484055233,risk-reducing,2.2148073504310277e-36,0.0,True,True
Attr38,0.7095,0.6756,0.745,4.376692655763051e-43,0.7093,0.6755,0.7449,0.0,0.2042,-0.4057,0.2905446225301467,risk-reducing,2.115401450285475e-42,0.0,True,True
Attr13,0.7095,0.6774,0.7431,6.669691777979289e-48,0.7093,0.6773,0.7429,0.0,0.2822,-0.4263,0.2905195250896234,risk-reducing,1.2894737437426625e-46,0.0,True,True
Attr39,0.7098,0.6812,0.7396,6.37845076645878e-60,0.7096,0.681,0.7394,0.0,0.2707,-0.5005,0.2902063745402006,risk-reducing,1.8497507222730462e-58,0.0,True,True
Attr25,0.7248,0.6933,0.7576,5.177556109219921e-46,0.7246,0.6932,0.7574,0.0,0.2313,-0.4261,0.2752448338487913,risk-reducing,7.507456358368887e-45,0.0,True,True
equity_to_assets,0.73,0.6959,0.7658,5.987552603903724e-38,0.7298,0.6957,0.7656,0.0,0.1866,-0.3792,0.27000104144206427,risk-reducing,2.4805575073315425e-37,0.0,True,True
Attr24,0.7329,0.6948,0.7732,4.105180008907498e-30,0.7328,0.6947,0.773,0.0,0.2714,-0.3286,0.26705554258407804,risk-reducing,1.0352193065940646e-29,0.0,True,True
Attr32,1.2652,1.214,1.3185,5.452802095849159e-29,1.2657,1.2146,1.319,0.0,-0.1718,0.337,0.26517020235917843,risk-increasing,1.31776050649688e-28,0.0,True,True
