feature,OR_mle,CI_lo_mle,CI_hi_mle,p_mle,OR_firth,CI_lo_firth,CI_hi_firth,p_firth,rank_biserial,cohens_d,or_dist,direction,p_mle_fdr,p_firth_fdr,sig_mle_fdr,sig_firth_fdr
working_capital_to_assets,0.7089,0.6724,0.7473,2.2571495932012213e-37,0.7088,0.6724,0.7472,0.0,0.1966,-0.3729,0.29111924795501665,risk-reducing,8.727645093711389e-37,0.0,True,True
Attr25,0.7248,0.6933,0.7576,5.177556109219921e-46,0.7246,0.6932,0.7574,0.0,0.2313,-0.4261,0.2752448338487913,risk-reducing,7.507456358368887e-45,0.0,True,True
Attr24,0.7329,0.6948,0.7732,4.105180008907498e-30,0.7328,0.6947,0.773,0.0,0.2714,-0.3286,0.26705554258407804,risk-reducing,1.0352193065940646e-29,0.0,True,True
Attr30,1.2331,1.1813,1.2871,1.0420957505219178e-21,1.2337,1.1819,1.2877,0.0,-0.1653,0.2849,0.23305688390981638,risk-increasing,2.324675135779663e-21,0.0,True,True
Attr12,0.7687,0.7059,0.8371,1.4634044690119931e-09,0.7696,0.7067,0.838,1.6590937512717119e-09,0.2507,-0.1649,0.23131087655745275,risk-reducing,2.572044218263503e-09,2.9159829567805846e-09,True,True
Attr55,0.7743,0.7205,0.8321,3.4050935797722384e-12,0.7744,0.7206,0.8322,3.43969297489366e-12,0.217,-0.1867,0.22572830024709012,risk-reducing,6.810187159544477e-12,7.055245276887945e-12,True,True
Attr41,0.7762,0.7199,0.837,4.496895025097211e-11,0.7769,0.7206,0.8377,5.0643711446696216e-11,0.1672,-0.1848,0.2237646027066238,risk-reducing,8.150622232988696e-11,9.179172699713689e-11,True,True
retained_earnings_to_assets,0.8055,0.7706,0.8419,8.826312096351766e-22,0.8051,0.7703,0.8415,0.0,0.1803,-0.2838,0.1945263459565829,risk-reducing,2.04770440635361e-21,0.0,True,True
Attr56,0.8341,0.7906,0.88,3.182165658460296e-11,0.8339,0.7904,0.8797,2.9118041311448906e-11,0.1283,-0.1906,0.16588309448608007,risk-reducing,5.953729296474103e-11,5.44789160020657e-11,True,True
Attr29,0.8421,0.7958,0.891,2.490834751682533e-09,0.8421,0.7958,0.891,2.4762201178418763e-09,0.0824,-0.1726,0.15792670170619316,risk-reducing,4.249071046987851e-09,4.2241402010243775e-09,True,True
Attr45,0.8705,0.7994,0.948,0.001432038600796151,0.8747,0.8041,0.9516,0.0018314040406064436,0.2024,-0.0935,0.12949326317623067,risk-reducing,0.0020258107035652866,0.0025907666915896033,True,True
Attr21,0.8728,0.8205,0.9284,1.5776215674371374e-05,0.8733,0.821,0.9289,1.6900809396203087e-05,0.0794,-0.1245,0.12718389505507643,risk-reducing,2.541723636426499e-05,2.7229081804993863e-05,True,True
cash_to_current_liabilities,0.8871,0.8393,0.9375,2.1574810321941678e-05,0.8868,0.8391,0.9372,2.041286693765798e-05,0.1589,-0.1217,0.11293886995410185,risk-reducing,3.3819972937097766e-05,3.199854817254494e-05,True,True
Attr58,1.1079,1.0475,1.1719,0.00034153780214872455,1.1081,1.0477,1.172,0.000333321551849286,-0.0701,0.1031,0.10793766777808944,risk-increasing,0.0005212945401217375,0.0005087539475594365,True,True
Attr57,0.9128,0.864,0.9643,0.0011246916532440736,0.9125,0.8638,0.964,0.0010782598484917472,0.0979,-0.0939,0.08721788824510424,risk-reducing,0.001672618356106571,0.0016035659285261882,True,True
Attr47,0.9376,0.8825,0.9962,0.03726521052412101,0.9386,0.8834,0.9971,0.04008243286022606,0.0546,-0.0602,0.06238201637205276,risk-reducing,0.04322764420798037,0.04744451236516554,True,True
