factor_id,layer,antecedents_str,consequents_str,n_conditions,conditions_detail,support,confidence,lift_vs_baseline,conf_safe,conf_diff,trigger_description
L2-01,2,Attr55=LOW & Attr58=HIGH,Attr12=LOW,2,Attr55 <= -66.5770 AND Attr58 >= 0.9990,0.2232,0.9419,11.2946,0.8358,0.1061,"Firm simultaneously satisfies: Attr55=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=94.2% (vs 83.6% in safe group). Lift vs baseline = 11.3x."
L2-02,2,Attr55=LOW & Attr58=HIGH & working_capital_to_assets=LOW,Attr12=LOW,3,Attr55 <= -66.5770 AND Attr58 >= 0.9990 AND working_capital_to_assets <= -0.0233,0.2164,0.9402,11.2738,0.8396,0.1006,"Firm simultaneously satisfies: Attr55=LOW & Attr58=HIGH & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=94.0% (vs 84.0% in safe group). Lift vs baseline = 11.3x."
L2-03,2,Attr24=LOW & cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,Attr12=LOW,3,Attr24 <= -0.0017 AND cash_to_current_liabilities <= -59.6780 AND working_capital_to_assets <= -0.0233,0.2064,0.9278,11.1255,0.7822,0.1456,"Firm simultaneously satisfies: Attr24=LOW & cash_to_current_liabilities=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=92.8% (vs 78.2% in safe group). Lift vs baseline = 11.1x."
L2-04,2,Attr24=LOW & Attr55=LOW & cash_to_current_liabilities=LOW,Attr12=LOW,3,Attr24 <= -0.0017 AND Attr55 <= -66.5770 AND cash_to_current_liabilities <= -59.6780,0.2041,0.9271,11.1165,0.7808,0.1463,"Firm simultaneously satisfies: Attr24=LOW & Attr55=LOW & cash_to_current_liabilities=LOW. Among upgrade-overridden firms meeting this condition, confidence=92.7% (vs 78.1% in safe group). Lift vs baseline = 11.1x."
L2-05,2,Attr58=HIGH & retained_earnings_to_assets=LOW,Attr12=LOW & Attr24=LOW,2,Attr58 >= 0.9990 AND retained_earnings_to_assets <= -0.0011,0.2492,0.9261,11.1051,0.819,0.1072,"Firm simultaneously satisfies: Attr58=HIGH & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=92.6% (vs 81.9% in safe group). Lift vs baseline = 11.1x."
L2-06,2,Attr24=LOW & Attr55=LOW,Attr12=LOW,2,Attr24 <= -0.0017 AND Attr55 <= -66.5770,0.2599,0.9239,11.0785,0.7777,0.1462,"Firm simultaneously satisfies: Attr24=LOW & Attr55=LOW. Among upgrade-overridden firms meeting this condition, confidence=92.4% (vs 77.8% in safe group). Lift vs baseline = 11.1x."
L2-07,2,Attr24=LOW & Attr55=LOW & working_capital_to_assets=LOW,Attr12=LOW,3,Attr24 <= -0.0017 AND Attr55 <= -66.5770 AND working_capital_to_assets <= -0.0233,0.2515,0.9216,11.0504,0.7804,0.1411,"Firm simultaneously satisfies: Attr24=LOW & Attr55=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=92.2% (vs 78.0% in safe group). Lift vs baseline = 11.1x."
L2-08,2,Attr24=LOW & cash_to_current_liabilities=LOW,Attr12=LOW,2,Attr24 <= -0.0017 AND cash_to_current_liabilities <= -59.6780,0.2416,0.9213,11.0469,0.7718,0.1495,"Firm simultaneously satisfies: Attr24=LOW & cash_to_current_liabilities=LOW. Among upgrade-overridden firms meeting this condition, confidence=92.1% (vs 77.2% in safe group). Lift vs baseline = 11.0x."
L2-09,2,Attr24=LOW & working_capital_to_assets=LOW,Attr12=LOW,2,Attr24 <= -0.0017 AND working_capital_to_assets <= -0.0233,0.2661,0.9206,11.0392,0.7818,0.1389,"Firm simultaneously satisfies: Attr24=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=92.1% (vs 78.2% in safe group). Lift vs baseline = 11.0x."
L2-10,2,Attr58=HIGH,Attr12=LOW,1,Attr58 >= 0.9990,0.3884,0.9203,11.035,0.8029,0.1173,"Firm simultaneously satisfies: Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=92.0% (vs 80.3% in safe group). Lift vs baseline = 11.0x."
L2-11,2,Attr45=LOW & Attr55=LOW,Attr24=LOW,2,Attr45 <= -0.0009 AND Attr55 <= -66.5770,0.2431,0.9138,10.9571,0.8103,0.1035,"Firm simultaneously satisfies: Attr45=LOW & Attr55=LOW. Among upgrade-overridden firms meeting this condition, confidence=91.4% (vs 81.0% in safe group). Lift vs baseline = 11.0x."
L2-12,2,Attr41=LOW & Attr45=LOW & Attr56=LOW,Attr24=LOW,3,Attr41 <= 0.0688 AND Attr45 <= -0.0009 AND Attr56 <= 0.0007,0.2653,0.9132,10.9495,0.8067,0.1065,"Firm simultaneously satisfies: Attr41=LOW & Attr45=LOW & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=91.3% (vs 80.7% in safe group). Lift vs baseline = 10.9x."
L2-13,2,Attr24=LOW & Attr30=HIGH & cash_to_current_liabilities=LOW,Attr12=LOW,3,Attr24 <= -0.0017 AND Attr30 >= 0.4222 AND cash_to_current_liabilities <= -59.6780,0.2049,0.9116,10.9304,0.7934,0.1181,"Firm simultaneously satisfies: Attr24=LOW & Attr30=HIGH & cash_to_current_liabilities=LOW. Among upgrade-overridden firms meeting this condition, confidence=91.2% (vs 79.3% in safe group). Lift vs baseline = 10.9x."
L2-14,2,Attr24=LOW & Attr30=HIGH,Attr12=LOW,2,Attr24 <= -0.0017 AND Attr30 >= 0.4222,0.2561,0.9079,10.886,0.791,0.1169,"Firm simultaneously satisfies: Attr24=LOW & Attr30=HIGH. Among upgrade-overridden firms meeting this condition, confidence=90.8% (vs 79.1% in safe group). Lift vs baseline = 10.9x."
L2-15,2,Attr45=LOW & working_capital_to_assets=LOW,Attr12=LOW & Attr24=LOW,2,Attr45 <= -0.0009 AND working_capital_to_assets <= -0.0233,0.2446,0.9065,10.8699,0.7757,0.1309,"Firm simultaneously satisfies: Attr45=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=90.7% (vs 77.6% in safe group). Lift vs baseline = 10.9x."
L2-16,2,Attr45=LOW & Attr56=LOW & Attr58=HIGH,Attr24=LOW,3,Attr45 <= -0.0009 AND Attr56 <= 0.0007 AND Attr58 >= 0.9990,0.292,0.9052,10.8543,0.7724,0.1328,"Firm simultaneously satisfies: Attr45=LOW & Attr56=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=90.5% (vs 77.2% in safe group). Lift vs baseline = 10.9x."
L2-17,2,Attr12=LOW & Attr45=LOW & Attr56=LOW,Attr24=LOW,3,Attr12 <= -0.0183 AND Attr45 <= -0.0009 AND Attr56 <= 0.0007,0.3066,0.9052,10.854,0.7828,0.1224,"Firm simultaneously satisfies: Attr12=LOW & Attr45=LOW & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=90.5% (vs 78.3% in safe group). Lift vs baseline = 10.9x."
L2-18,2,Attr24=LOW & retained_earnings_to_assets=LOW,Attr12=LOW,2,Attr24 <= -0.0017 AND retained_earnings_to_assets <= -0.0011,0.2974,0.9047,10.8475,0.7282,0.1765,"Firm simultaneously satisfies: Attr24=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=90.5% (vs 72.8% in safe group). Lift vs baseline = 10.8x."
L2-19,2,Attr24=LOW,Attr12=LOW,1,Attr24 <= -0.0017,0.4411,0.9044,10.8444,0.7532,0.1512,"Firm simultaneously satisfies: Attr24=LOW. Among upgrade-overridden firms meeting this condition, confidence=90.4% (vs 75.3% in safe group). Lift vs baseline = 10.8x."
L2-20,2,Attr12=LOW & Attr25=LOW & Attr58=HIGH,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr25 <= 0.0905 AND Attr58 >= 0.9990,0.2148,0.9035,10.8342,0.731,0.1726,"Firm simultaneously satisfies: Attr12=LOW & Attr25=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=90.4% (vs 73.1% in safe group). Lift vs baseline = 10.8x."
L2-21,2,Attr12=LOW & Attr56=LOW & Attr58=HIGH,Attr24=LOW,3,Attr12 <= -0.0183 AND Attr56 <= 0.0007 AND Attr58 >= 0.9990,0.3257,0.9025,10.8222,0.7819,0.1206,"Firm simultaneously satisfies: Attr12=LOW & Attr56=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=90.3% (vs 78.2% in safe group). Lift vs baseline = 10.8x."
L2-22,2,Attr24=LOW & Attr25=LOW,Attr12=LOW,2,Attr24 <= -0.0017 AND Attr25 <= 0.0905,0.2737,0.9018,10.8129,0.7761,0.1257,"Firm simultaneously satisfies: Attr24=LOW & Attr25=LOW. Among upgrade-overridden firms meeting this condition, confidence=90.2% (vs 77.6% in safe group). Lift vs baseline = 10.8x."
L2-23,2,Attr12=LOW & Attr29=LOW,Attr41=LOW,2,Attr12 <= -0.0183 AND Attr29 <= 3.5504,0.2011,0.9007,10.8,0.7344,0.1663,"Firm simultaneously satisfies: Attr12=LOW & Attr29=LOW. Among upgrade-overridden firms meeting this condition, confidence=90.1% (vs 73.4% in safe group). Lift vs baseline = 10.8x."
L2-24,2,Attr12=LOW & Attr56=LOW,Attr24=LOW,2,Attr12 <= -0.0183 AND Attr56 <= 0.0007,0.3417,0.8994,10.7845,0.7815,0.1179,"Firm simultaneously satisfies: Attr12=LOW & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=89.9% (vs 78.1% in safe group). Lift vs baseline = 10.8x."
L2-25,2,Attr45=LOW & Attr56=LOW,Attr24=LOW,2,Attr45 <= -0.0009 AND Attr56 <= 0.0007,0.3073,0.8993,10.7837,0.7701,0.1292,"Firm simultaneously satisfies: Attr45=LOW & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=89.9% (vs 77.0% in safe group). Lift vs baseline = 10.8x."
L2-26,2,Attr58=HIGH & working_capital_to_assets=LOW,Attr12=LOW & Attr55=LOW,2,Attr58 >= 0.9990 AND working_capital_to_assets <= -0.0233,0.2164,0.8956,10.7386,0.7852,0.1103,"Firm simultaneously satisfies: Attr58=HIGH & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=89.6% (vs 78.5% in safe group). Lift vs baseline = 10.7x."
L2-27,2,Attr21=LOW & Attr41=LOW,Attr12=LOW,2,Attr21 <= 0.9610 AND Attr41 <= 0.0688,0.2018,0.8949,10.7308,0.7386,0.1563,"Firm simultaneously satisfies: Attr21=LOW & Attr41=LOW. Among upgrade-overridden firms meeting this condition, confidence=89.5% (vs 73.9% in safe group). Lift vs baseline = 10.7x."
L2-28,2,Attr12=LOW & Attr45=LOW & Attr58=HIGH,Attr24=LOW,3,Attr12 <= -0.0183 AND Attr45 <= -0.0009 AND Attr58 >= 0.9990,0.3073,0.8933,10.7118,0.7725,0.1208,"Firm simultaneously satisfies: Attr12=LOW & Attr45=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=89.3% (vs 77.3% in safe group). Lift vs baseline = 10.7x."
L2-29,2,Attr24=LOW & Attr25=LOW & retained_earnings_to_assets=LOW,Attr12=LOW,3,Attr24 <= -0.0017 AND Attr25 <= 0.0905 AND retained_earnings_to_assets <= -0.0011,0.211,0.8932,10.7103,0.7441,0.1492,"Firm simultaneously satisfies: Attr24=LOW & Attr25=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=89.3% (vs 74.4% in safe group). Lift vs baseline = 10.7x."
L2-30,2,Attr12=LOW & Attr30=HIGH & Attr58=HIGH,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr30 >= 0.4222 AND Attr58 >= 0.9990,0.2041,0.893,10.7075,0.701,0.1919,"Firm simultaneously satisfies: Attr12=LOW & Attr30=HIGH & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=89.3% (vs 70.1% in safe group). Lift vs baseline = 10.7x."
L2-31,2,Attr56=LOW & Attr58=HIGH & retained_earnings_to_assets=LOW,Attr41=LOW,3,Attr56 <= 0.0007 AND Attr58 >= 0.9990 AND retained_earnings_to_assets <= -0.0011,0.2225,0.8926,10.7035,0.737,0.1557,"Firm simultaneously satisfies: Attr56=LOW & Attr58=HIGH & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=89.3% (vs 73.7% in safe group). Lift vs baseline = 10.7x."
L2-32,2,Attr12=LOW & Attr58=HIGH,Attr24=LOW,2,Attr12 <= -0.0183 AND Attr58 >= 0.9990,0.3456,0.8898,10.669,0.7716,0.1182,"Firm simultaneously satisfies: Attr12=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=89.0% (vs 77.2% in safe group). Lift vs baseline = 10.7x."
L2-33,2,Attr45=LOW & Attr58=HIGH,Attr24=LOW,2,Attr45 <= -0.0009 AND Attr58 >= 0.9990,0.3081,0.8896,10.6673,0.7537,0.1359,"Firm simultaneously satisfies: Attr45=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=89.0% (vs 75.4% in safe group). Lift vs baseline = 10.7x."
L2-34,2,Attr41=LOW & Attr56=LOW & Attr58=HIGH,Attr24=LOW,3,Attr41 <= 0.0688 AND Attr56 <= 0.0007 AND Attr58 >= 0.9990,0.289,0.8894,10.6648,0.7859,0.1036,"Firm simultaneously satisfies: Attr41=LOW & Attr56=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=88.9% (vs 78.6% in safe group). Lift vs baseline = 10.7x."
L2-35,2,Attr12=LOW & Attr58=HIGH & working_capital_to_assets=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr58 >= 0.9990 AND working_capital_to_assets <= -0.0233,0.2026,0.8893,10.663,0.6975,0.1918,"Firm simultaneously satisfies: Attr12=LOW & Attr58=HIGH & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=88.9% (vs 69.8% in safe group). Lift vs baseline = 10.7x."
L2-36,2,Attr45=LOW & cash_to_current_liabilities=LOW,Attr12=LOW & Attr24=LOW,2,Attr45 <= -0.0009 AND cash_to_current_liabilities <= -59.6780,0.2263,0.8889,10.6585,0.7623,0.1266,"Firm simultaneously satisfies: Attr45=LOW & cash_to_current_liabilities=LOW. Among upgrade-overridden firms meeting this condition, confidence=88.9% (vs 76.2% in safe group). Lift vs baseline = 10.7x."
L2-37,2,Attr58=HIGH & cash_to_current_liabilities=LOW,Attr12=LOW & Attr56=LOW,2,Attr58 >= 0.9990 AND cash_to_current_liabilities <= -59.6780,0.2057,0.8878,10.6453,0.767,0.1208,"Firm simultaneously satisfies: Attr58=HIGH & cash_to_current_liabilities=LOW. Among upgrade-overridden firms meeting this condition, confidence=88.8% (vs 76.7% in safe group). Lift vs baseline = 10.6x."
L2-38,2,Attr12=LOW & Attr58=HIGH & retained_earnings_to_assets=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr58 >= 0.9990 AND retained_earnings_to_assets <= -0.0011,0.2355,0.8876,10.6432,0.7384,0.1492,"Firm simultaneously satisfies: Attr12=LOW & Attr58=HIGH & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=88.8% (vs 73.8% in safe group). Lift vs baseline = 10.6x."
L2-39,2,Attr24=LOW & Attr58=HIGH & retained_earnings_to_assets=LOW,Attr41=LOW,3,Attr24 <= -0.0017 AND Attr58 >= 0.9990 AND retained_earnings_to_assets <= -0.0011,0.2217,0.8869,10.6341,0.7021,0.1848,"Firm simultaneously satisfies: Attr24=LOW & Attr58=HIGH & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=88.7% (vs 70.2% in safe group). Lift vs baseline = 10.6x."
L2-40,2,Attr45=LOW & Attr58=HIGH & retained_earnings_to_assets=LOW,Attr41=LOW,3,Attr45 <= -0.0009 AND Attr58 >= 0.9990 AND retained_earnings_to_assets <= -0.0011,0.2102,0.8842,10.6028,0.7082,0.1761,"Firm simultaneously satisfies: Attr45=LOW & Attr58=HIGH & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=88.4% (vs 70.8% in safe group). Lift vs baseline = 10.6x."
L2-41,2,Attr24=LOW & Attr56=LOW & Attr58=HIGH,Attr41=LOW,3,Attr24 <= -0.0017 AND Attr56 <= 0.0007 AND Attr58 >= 0.9990,0.289,0.8832,10.59,0.7397,0.1435,"Firm simultaneously satisfies: Attr24=LOW & Attr56=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=88.3% (vs 74.0% in safe group). Lift vs baseline = 10.6x."
L2-42,2,Attr12=LOW & Attr56=LOW & retained_earnings_to_assets=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr56 <= 0.0007 AND retained_earnings_to_assets <= -0.0011,0.2278,0.8817,10.5718,0.7776,0.1041,"Firm simultaneously satisfies: Attr12=LOW & Attr56=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=88.2% (vs 77.8% in safe group). Lift vs baseline = 10.6x."
L2-43,2,Attr12=LOW & Attr24=LOW & Attr58=HIGH,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND Attr58 >= 0.9990,0.3043,0.8805,10.5583,0.7318,0.1487,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=88.1% (vs 73.2% in safe group). Lift vs baseline = 10.6x."
L2-44,2,Attr24=LOW & Attr45=LOW & Attr58=HIGH,Attr41=LOW,3,Attr24 <= -0.0017 AND Attr45 <= -0.0009 AND Attr58 >= 0.9990,0.2706,0.8784,10.5329,0.7068,0.1716,"Firm simultaneously satisfies: Attr24=LOW & Attr45=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=87.8% (vs 70.7% in safe group). Lift vs baseline = 10.5x."
L2-45,2,Attr24=LOW & Attr58=HIGH,Attr41=LOW,2,Attr24 <= -0.0017 AND Attr58 >= 0.9990,0.305,0.8769,10.515,0.6875,0.1894,"Firm simultaneously satisfies: Attr24=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=87.7% (vs 68.8% in safe group). Lift vs baseline = 10.5x."
L2-46,2,Attr25=LOW & Attr58=HIGH,Attr12=LOW & Attr56=LOW,2,Attr25 <= 0.0905 AND Attr58 >= 0.9990,0.2179,0.8769,10.515,0.7646,0.1124,"Firm simultaneously satisfies: Attr25=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=87.7% (vs 76.5% in safe group). Lift vs baseline = 10.5x."
L2-47,2,Attr30=HIGH & Attr45=LOW,Attr12=LOW & Attr24=LOW,2,Attr30 >= 0.4222 AND Attr45 <= -0.0009,0.2324,0.8761,10.5049,0.7572,0.1189,"Firm simultaneously satisfies: Attr30=HIGH & Attr45=LOW. Among upgrade-overridden firms meeting this condition, confidence=87.6% (vs 75.7% in safe group). Lift vs baseline = 10.5x."
L2-48,2,Attr45=LOW & Attr56=LOW & retained_earnings_to_assets=LOW,Attr41=LOW,3,Attr45 <= -0.0009 AND Attr56 <= 0.0007 AND retained_earnings_to_assets <= -0.0011,0.2034,0.875,10.492,0.7556,0.1194,"Firm simultaneously satisfies: Attr45=LOW & Attr56=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=87.5% (vs 75.6% in safe group). Lift vs baseline = 10.5x."
L2-49,2,Attr41=LOW & Attr58=HIGH,Attr12=LOW & Attr24=LOW,2,Attr41 <= 0.0688 AND Attr58 >= 0.9990,0.3043,0.8747,10.4887,0.7647,0.11,"Firm simultaneously satisfies: Attr41=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=87.5% (vs 76.5% in safe group). Lift vs baseline = 10.5x."
L2-50,2,Attr12=LOW & Attr45=LOW,Attr24=LOW,2,Attr12 <= -0.0183 AND Attr45 <= -0.0009,0.396,0.8706,10.4391,0.7575,0.1131,"Firm simultaneously satisfies: Attr12=LOW & Attr45=LOW. Among upgrade-overridden firms meeting this condition, confidence=87.1% (vs 75.7% in safe group). Lift vs baseline = 10.4x."
L2-51,2,Attr24=LOW & Attr56=LOW & retained_earnings_to_assets=LOW,Attr41=LOW,3,Attr24 <= -0.0017 AND Attr56 <= 0.0007 AND retained_earnings_to_assets <= -0.0011,0.2209,0.8705,10.4378,0.7254,0.1451,"Firm simultaneously satisfies: Attr24=LOW & Attr56=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=87.0% (vs 72.5% in safe group). Lift vs baseline = 10.4x."
L2-52,2,Attr12=LOW & Attr56=LOW & Attr57=LOW,Attr24=LOW,3,Attr12 <= -0.0183 AND Attr56 <= 0.0007 AND Attr57 <= 0.0042,0.2187,0.8693,10.4236,0.7373,0.132,"Firm simultaneously satisfies: Attr12=LOW & Attr56=LOW & Attr57=LOW. Among upgrade-overridden firms meeting this condition, confidence=86.9% (vs 73.7% in safe group). Lift vs baseline = 10.4x."
