segment,segment_type,n,n_defaulters,baseline_dr,mean_warnings,optimal_threshold,best_f1,best_precision,best_recall
A→AA,transition,1222,19,0.0155,9.8,29,0.064,0.0377,0.2105
BBB→A,transition,2148,60,0.0279,12.6,6,0.0615,0.0327,0.5167
BB→BBB,transition,3073,127,0.0413,17.88,3,0.0837,0.0441,0.8189
B→BB,transition,4271,306,0.0716,31.43,5,0.1346,0.0731,0.8464
CCC→B,transition,4970,796,0.1602,74.02,10,0.2813,0.1657,0.9309
Year 1,horizon,2409,163,0.0677,25.67,6,0.1592,0.1657,0.9309
Year 2,horizon,3807,234,0.0615,39.17,17,0.1319,0.1657,0.9309
Year 3,horizon,3853,302,0.0784,40.72,23,0.1729,0.1657,0.9309
Year 4,horizon,3601,323,0.0897,41.26,29,0.2267,0.1657,0.9309
Year 5,horizon,2014,286,0.142,39.55,27,0.3882,0.1657,0.9309
