feature,U_stat,p_value,sig_05,sig_01,sig_001,risky_median,safe_median,median_diff
Attr46,4444180.0,1.0029600845379956e-56,True,True,True,0.488,0.7517,-0.2638
Attr16,4500562.0,2.2924639677534577e-53,True,True,True,0.0146,0.1022,-0.0876
Attr26,4510598.5,8.855131578903838e-53,True,True,True,0.0137,0.0932,-0.0794
Attr13,4568223.5,1.7878427701277788e-49,True,True,True,0.0061,0.0316,-0.0255
Attr24,4583890.0,1.3536840860541664e-48,True,True,True,0.0018,0.0721,-0.0703
Attr35,4586660.5,1.9346083223437345e-48,True,True,True,-0.0146,0.0295,-0.0441
Attr39,4610207.5,3.9023519153604343e-47,True,True,True,-0.008,0.0158,-0.0238
Attr19,4700712.0,2.7245461788621516e-42,True,True,True,-0.0059,0.0118,-0.0177
ebit_to_assets,4726236.0,5.65495873400992e-41,True,True,True,-0.0081,0.0227,-0.0308
Attr14,4726236.0,5.65495873400992e-41,True,True,True,-0.0081,0.0227,-0.0308
Attr18,4726241.0,5.658294895758168e-41,True,True,True,-0.0081,0.0227,-0.0308
Attr12,4734889.0,1.56401399311828e-40,True,True,True,-0.0198,0.0497,-0.0695
Attr23,4736034.0,1.7879975589662632e-40,True,True,True,-0.0056,0.0093,-0.0149
net_profit_to_assets,4755285.0,1.680040160393994e-39,True,True,True,-0.0073,0.0177,-0.0249
Attr31,4861926.0,2.4756585019093263e-34,True,True,True,0.001,0.0168,-0.0159
Attr25,4887338.5,3.7142589027122724e-33,True,True,True,0.1133,0.2296,-0.1164
Attr22,4895807.0,8.865726880158784e-33,True,True,True,0.0066,0.035,-0.0284
Attr11,4897891.0,1.1273791366052046e-32,True,True,True,0.0049,0.0398,-0.0349
Attr42,4945437.0,1.4803195217169407e-30,True,True,True,0.0041,0.0176,-0.0135
Attr55,4967942.5,1.445192490011646e-29,True,True,True,6.9355,316.0,-309.0645
Attr45,5023736.5,3.280128757297613e-27,True,True,True,0.0077,0.1035,-0.0958
Attr54,5049022.0,3.584049619281394e-26,True,True,True,0.9045,1.1442,-0.2397
current_assets_to_short_liabilities,5061732.0,1.1682077740632692e-25,True,True,True,1.0146,1.203,-0.1884
working_capital_to_assets,5074542.5,3.7909487129668364e-25,True,True,True,0.0076,0.0972,-0.0897
Attr38,5096221.5,2.7016652983580525e-24,True,True,True,0.3766,0.4738,-0.0972
Attr28,5113721.0,1.2834396031331337e-23,True,True,True,0.0247,0.2527,-0.228
Attr50,5126543.5,3.969598244046174e-23,True,True,True,0.8179,0.9834,-0.1655
Attr40,5145820.5,2.1130915071078107e-22,True,True,True,0.056,0.1065,-0.0505
Attr63,5147746.0,2.4933210421033956e-22,True,True,True,3.1798,4.0742,-0.8944
Attr62,7367497.0,3.336737647679967e-22,True,True,True,113.855,89.024,24.831
retained_earnings_to_assets,5200810.0,1.4805984813232913e-21,True,True,True,0.0,0.0,0.0
Attr17,5169668.5,1.60816992056871e-21,True,True,True,1.3978,1.5949,-0.1971
book_value_equity_to_liabilities,5170783.5,1.7663965413979404e-21,True,True,True,0.3801,0.5618,-0.1816
total_liabilities_to_assets,7346249.5,2.02218037079612e-21,True,True,True,0.7154,0.6269,0.0885
equity_to_assets,5180106.5,3.857064704698937e-21,True,True,True,0.2653,0.3521,-0.0868
Attr48,5184912.5,5.7538207448091106e-21,True,True,True,-0.0255,0.0,-0.0255
Attr53,5191290.0,9.749132056103526e-21,True,True,True,0.6832,0.9341,-0.2509
Attr32,7297208.5,1.1363219572164334e-19,True,True,True,116.65,91.877,24.773
Attr49,5228383.0,1.9806845365348483e-19,True,True,True,-0.0129,0.0,-0.0129
Attr30,7285723.5,2.8430477631995106e-19,True,True,True,0.3603,0.2777,0.0825
Attr41,5251807.0,1.2567088498539417e-18,True,True,True,0.0616,0.136,-0.0744
Attr51,7258833.0,2.340800145826623e-18,True,True,True,0.5566,0.4734,0.0832
cash_to_current_liabilities,5302643.0,6.012709905018864e-17,True,True,True,-42.8105,-24.236,-18.5745
Attr15,5425426.0,3.067327134011312e-13,True,True,True,359.45,1464.6,-1105.15
Attr52,7056247.5,3.211719069262777e-12,True,True,True,0.2957,0.2514,0.0443
Attr33,5467900.0,4.516764509399602e-12,True,True,True,3.3784,3.9698,-0.5914
Attr56,5517909.0,9.007245193738725e-11,True,True,True,0.0087,0.0217,-0.013
Attr57,5571371.0,1.7954572976925132e-09,True,True,True,0.0214,0.069,-0.0476
sales_to_assets,5717964.5,2.2067829942999883e-06,True,True,True,1.1242,1.2178,-0.0936
Attr21,5738086.0,4.943478784283134e-06,True,True,True,1.0452,1.0452,0.0
Attr29,5737270.5,5.002390040796505e-06,True,True,True,3.7968,3.8978,-0.101
Attr64,5775243.0,2.3089406036276784e-05,True,True,True,4.2825,4.7447,-0.4622
Attr58,6616241.5,0.0018034313587075457,True,True,False,0.9866,0.9821,0.0045
Attr59,5928383.0,0.0024651537617544116,True,True,False,0.0,0.0045,-0.0045
Attr47,5943202.0,0.005705165860142565,True,True,False,34.552,36.684,-2.132
Attr36,6021275.5,0.03739587918543348,True,False,False,1.744,1.82,-0.0759
Attr34,6023564.5,0.03926495287845606,True,False,False,1.7669,1.8463,-0.0794
Attr27,6040070.5,0.05517163965111497,False,False,False,1.0841,0.5564,0.5277
Attr60,6050818.0,0.06826928732234314,False,False,False,9.7917,9.7917,0.0
Attr43,6396339.5,0.230895881674562,False,False,False,100.9,96.94,3.96
Attr20,6170983.5,0.4398533730491805,False,False,False,36.3475,36.054,0.2935
Attr37,6178688.0,0.46070678047849345,False,False,False,3.0963,3.0963,0.0
Attr44,6217167.0,0.7124403828826457,False,False,False,48.4355,50.254,-1.8185
Attr61,6284263.5,0.82736111237142,False,False,False,7.4036,7.2344,0.1692
