feature,U_stat,p_value,sig_05,sig_01,sig_001,risky_median,safe_median,median_diff,n_risky,n_safe,effect_r
Attr26,4399114.5,1.4441875229179962e-53,True,True,True,0.0154,0.0934,-0.0779,1074,11440,0.2839143747314138
Attr16,4402572.5,2.3156360389538015e-53,True,True,True,0.0152,0.1022,-0.087,1074,11440,0.28335148324673465
Attr46,4473572.0,3.061138670247573e-49,True,True,True,0.4923,0.7335,-0.2411,1074,11440,0.2717942206769023
Attr13,4483185.5,1.073475576633471e-48,True,True,True,0.0068,0.0324,-0.0256,1074,11440,0.2702293400268261
Attr35,4614903.0,1.5254727120262877e-41,True,True,True,-0.0177,0.0284,-0.0461,1074,11440,0.24878843223815295
Attr39,4657341.0,2.3089372727875557e-39,True,True,True,-0.0087,0.0156,-0.0244,1074,11440,0.24188039614017265
Attr24,4685657.0,6.079566419112047e-38,True,True,True,0.0047,0.0686,-0.0638,1074,11440,0.23727113203370187
Attr12,4686537.0,6.728507434762502e-38,True,True,True,-0.0227,0.0456,-0.0683,1074,11440,0.23712788608040003
Attr19,4698339.0,2.5803961418357977e-37,True,True,True,-0.0064,0.0115,-0.0179,1074,11440,0.23520676251123174
Attr14,4702660.0,4.209340519793817e-37,True,True,True,-0.0096,0.0215,-0.031,1074,11440,0.23450339232462136
ebit_to_assets,4702660.0,4.209340520843952e-37,True,True,True,-0.0096,0.0215,-0.031,1074,11440,0.23450339232462136
Attr18,4702662.0,4.21029501107657e-37,True,True,True,-0.0096,0.0215,-0.031,1074,11440,0.2345030667656366
net_profit_to_assets,4719784.5,2.887292376968318e-36,True,True,True,-0.0088,0.0169,-0.0257,1074,11440,0.23171587490721568
Attr23,4724568.5,4.9250558863381645e-36,True,True,True,-0.0058,0.0092,-0.015,1074,11440,0.2309371378156294
Attr31,4821213.5,1.6273552794037893e-31,True,True,True,0.0011,0.017,-0.0159,1074,11440,0.21520531377374952
Attr25,4838653.5,9.851116160696082e-31,True,True,True,0.1222,0.2303,-0.108,1074,11440,0.21236643942649525
