feature,coef,se,p_value,OR_mle,OR_ci_low,OR_ci_high,direction,converged,n_iter,rank_biserial,OR_mle_standard,fdr_q,sig_fdr
equity_to_assets,-0.2885810288885585,0.027416898970958652,0.0,0.749326085627632,0.7101229439535187,0.7906934811541334,risk-reducing,True,6,0.17026718625880632,0.7493417537358181,0.0,True
Attr51,0.2768416560649344,0.028206907915717703,0.0,1.3189575055774887,1.2480185485224304,1.3939287229174737,risk-increasing,True,6,-0.1521630952846036,1.3185952432934929,0.0,True
Attr62,0.22260358717128892,0.024494948105423516,0.0,1.2493252270143522,1.1907631106853154,1.3107674472348858,risk-increasing,True,6,-0.16310456303473053,1.248312636873637,0.0,True
working_capital_to_assets,-0.2951128866383254,0.029978347571543548,0.0,0.7444475445416241,0.7019666605384552,0.789499242241709,risk-reducing,True,6,0.16582094581396256,0.7447721671920001,0.0,True
Attr32,0.20727362302972768,0.023916044112847864,0.0,1.230319169386884,1.173979239766262,1.2893628841871216,risk-increasing,True,6,-0.1478382883410816,1.2300193710200424,0.0,True
Attr49,-0.2358023945436794,0.024500761466076458,0.0,0.789936754323929,0.7528998927230997,0.8287955435548416,risk-reducing,True,6,0.14703090205883507,0.7905584698391908,0.0,True
total_liabilities_to_assets,0.2926204918782774,0.027487993011703887,0.0,1.3399341780233824,1.2696547531097226,1.4141037924189446,risk-increasing,True,6,-0.17305592452240504,1.3399214546802027,0.0,True
Attr38,-0.3075286358378931,0.027899642338498346,0.0,0.7352618124082673,0.6961355164881264,0.7765872017465306,risk-reducing,True,6,0.17806269614928838,0.735272353437422,0.0,True
retained_earnings_to_assets,-0.20861036398883454,0.025126572937298045,0.0,0.8117114460459857,0.772705302317846,0.8526866189033114,risk-reducing,True,6,0.18180483389980595,0.8120895953901506,0.0,True
Attr42,-0.27772288377987336,0.02480846085556587,0.0,0.7575067098274123,0.7215550721762063,0.7952496456062933,risk-reducing,True,6,0.1964863232670495,0.7579320359837501,0.0,True
Attr11,-0.3302757355543268,0.029915311905552047,0.0,0.7187255279251781,0.6777961706669957,0.7621264427962036,risk-reducing,True,6,0.20441767264392963,0.719043068891515,0.0,True
Attr48,-0.2751869566205453,0.026145509375027565,0.0,0.7594301294615006,0.7214940024949638,0.7993609365282801,risk-reducing,True,6,0.16266269810264222,0.7592515103430866,0.0,True
Attr25,-0.2963618166186357,0.02553937864998818,0.0,0.7435183620471951,0.7072167528460471,0.7816833417430178,risk-reducing,True,6,0.21236643942649525,0.7435329880117081,0.0,True
Attr31,-0.2597448852423467,0.02575113885984675,0.0,0.7712483175355338,0.7332884094886246,0.8111732840782329,risk-reducing,True,6,0.21520531377374952,0.7712558264305356,0.0,True
Attr22,-0.3675778280604988,0.02989202438756164,0.0,0.6924094358280938,0.6530085089200848,0.7341877177322538,risk-reducing,True,6,0.2084952989282598,0.6925947730269014,0.0,True
net_profit_to_assets,-0.3480841903925164,0.027482805346330182,0.0,0.7060394319751925,0.6690145306962811,0.745113381894776,risk-reducing,True,6,0.23171587490721568,0.706486210447652,0.0,True
Attr18,-0.36126829957033485,0.02853949861092404,0.0,0.6967920243847062,0.6588860394259515,0.7368787562552414,risk-reducing,True,6,0.2345030667656366,0.696557716642985,0.0,True
ebit_to_assets,-0.3612387630660196,0.028534694812782986,0.0,0.6968126054892867,0.6589117047069961,0.7368935833135353,risk-reducing,True,6,0.23450339232462136,0.6965769568082683,0.0,True
Attr14,-0.3612387692809878,0.028534694732411808,0.0,0.6968126011586185,0.6589117007156756,0.7368935786176862,risk-reducing,True,6,0.23450339232462136,0.6965769523925489,0.0,True
Attr19,-0.28593876376054883,0.024594265380635076,0.0,0.7513086218529268,0.7159516529366561,0.7884116796926862,risk-reducing,True,6,0.23520676251123174,0.7520334020720193,0.0,True
Attr13,-0.3268265389339814,0.026116972683027404,0.0,0.7212088338302395,0.6852203149423504,0.7590875090131196,risk-reducing,True,6,0.2702293400268261,0.7216899157962081,0.0,True
Attr23,-0.27374020613987365,0.024467306189078317,0.0,0.7605296305264033,0.7249190793335584,0.7978894960805479,risk-reducing,True,6,0.2309371378156294,0.7613534174244001,0.0,True
Attr24,-0.25364302013381235,0.030389765364066637,0.0,0.7759687578330521,0.7310993887544947,0.8235918705372712,risk-reducing,True,6,0.23727113203370187,0.7763105570682493,0.0,True
Attr39,-0.3215337471144068,0.023559572445922116,0.0,0.7250361617362774,0.692318159750798,0.7593003713993182,risk-reducing,True,6,0.24188039614017265,0.7252844185758244,0.0,True
Attr35,-0.41857975564110894,0.028596755993742777,0.0,0.6579806498308639,0.622116212135774,0.6959126399640573,risk-reducing,True,6,0.24878843223815295,0.6583528532959514,0.0,True
Attr30,0.17863372958217977,0.02505109841431643,9.980904991380157e-13,1.1955827573658966,1.1382983580807444,1.2557499706146862,risk-increasing,True,6,-0.15102502246356986,1.194839605788731,2.149733382758803e-12,True
Attr52,0.16220162620998882,0.024975151317647108,8.329847922539102e-11,1.176097349467739,1.1199132524290059,1.2351001047848802,risk-increasing,True,6,-0.11417198955606778,1.1752437988531523,1.7276721617118137e-10,True
Attr55,-0.25925985519555206,0.042877331047337375,1.4798184899689204e-09,0.7716224868774296,0.7094268561514043,0.8392708241761853,risk-reducing,True,7,0.19107553294005808,0.7712487642505383,2.959636979937841e-09,True
Attr41,-0.2436175333626465,0.04045709177702765,1.7267201002368893e-09,0.7837873494556246,0.7240375841279513,0.8484678456389506,risk-reducing,True,7,0.16068411337266086,0.7845493881721219,3.334356055629855e-09,True
Attr56,-0.17615167247738198,0.030009700663718903,4.362570082960815e-09,0.8384907977154872,0.7905948794224933,0.8892883525467861,risk-reducing,True,6,0.11434258246409079,0.8388863464378314,8.143464154860188e-09,True
Attr29,-0.178015205336303,0.03186325609679715,2.31226404689977e-08,0.8369296975945036,0.7862613466531959,0.8908632246735415,risk-reducing,True,6,0.0872030088161373,0.8369373891242609,4.17699311698023e-08,True
Attr12,-0.2262358060966618,0.04568634735133523,7.347928530077041e-07,0.7975300170505051,0.7292202973363632,0.8722386505421007,risk-reducing,True,7,0.23712788608040003,0.7965371804084144,1.2858874927634822e-06,True
Attr16,-0.2888531843822648,0.06466542393818767,7.936577824052549e-06,0.7491221801651056,0.6599474381193602,0.8503465706519241,risk-reducing,True,8,0.28335148324673465,0.7455374958985816,1.346813206505887e-05,True
Attr57,-0.13540243730346968,0.030361124672871137,8.206273030220146e-06,0.8733643665547185,0.8229094174679985,0.9269128540471312,risk-reducing,True,6,0.10015854722558637,0.8737388618655084,1.3516214402715536e-05,True
Attr26,-0.25306159460825,0.0610861677673459,3.4324259255313905e-05,0.7764200570616271,0.6888110501507859,0.875171942836307,risk-reducing,True,8,0.2839143747314138,0.7745927234046495,5.491881480850225e-05,True
Attr63,-0.12999660674616514,0.03980688771513588,0.0010920109587995164,0.878098410526305,0.8121934948932841,0.9493511378961906,risk-reducing,True,7,0.1657447650115248,0.8758468321014775,0.0016986837136881365,True
Attr21,-0.10400201283629303,0.034169952792627856,0.0023371242968199812,0.9012234834040436,0.8428435801139995,0.9636470944336589,risk-reducing,True,6,0.08203484132255079,0.9007651527119885,0.0035372692059978095,True
Attr58,0.08979858056738177,0.031545698907972285,0.004418623433632751,1.0939539179355202,1.028364984019398,1.1637261022725574,risk-increasing,True,6,-0.05981560339102243,1.093710909626356,0.00651165558640616,True
Attr15,-0.08152869072117341,0.0330760224435603,0.01370560859566261,0.9217062650570743,0.8638496828798212,0.9834378085471268,risk-reducing,True,6,0.13607869086221036,0.9213933002863106,0.0196798482399258,True
cash_to_current_liabilities,-0.07108778203154656,0.03143522181709427,0.023734161410397858,0.931380130099064,0.8757280472066327,0.9905688752465699,risk-reducing,True,6,0.1333174623328255,0.9316959531786317,0.033227825974557,True
Attr53,-0.08135067020928276,0.039074316906527705,0.0373472798652279,0.9218703622840955,0.8539053488480561,0.9952449249841048,risk-reducing,True,6,0.16174828430415022,0.9197039539772661,0.05101091884031128,False
Attr46,-0.07990922210454159,0.039672899214796775,0.04398835848038107,0.9232001487494675,0.8541344382643891,0.9978505449129522,risk-reducing,True,6,0.2717942206769023,0.9208272845136912,0.0586511446405081,False
Attr45,-0.06229131011613126,0.03857136074993486,0.10631876584039635,0.939609129274291,0.8711947025474496,1.013396102196232,risk-reducing,True,6,0.18998018973577635,0.9364734368777705,0.1384616485363301,False
Attr50,-0.05292594762834254,0.036481800525668774,0.1468496740215932,0.9484502448718605,0.8830009851003819,1.018750694706448,risk-reducing,True,6,0.15648782083837953,0.945694806919509,0.18689958511839136,False
sales_to_assets,-0.04630833318935238,0.03321464152481241,0.1632528554585102,0.9547475364494935,0.894573836594302,1.0189688330553877,risk-reducing,True,6,0.07533003542081751,0.9538883967674529,0.19996474636746103,False
Attr54,-0.05028747643445506,0.03615471710225401,0.16425675594470013,0.9509560077597277,0.8859015784431385,1.0207875803580169,risk-reducing,True,6,0.17685055865921784,0.948220069234208,0.19996474636746103,False
Attr33,-0.04428255615177067,0.034290700473510696,0.1965696037204563,0.9566836024424387,0.8944993577034868,1.0231908019833722,risk-reducing,True,6,0.10896499915354663,0.9549874077620408,0.23354689633358466,False
current_assets_to_short_liabilities,-0.04578394316620318,0.03573994015690708,0.2001830540002154,0.9552483278257587,0.8906239996877576,1.0245618444302196,risk-reducing,True,6,0.16294764360406822,0.9525040306440462,0.23354689633358466,False
Attr47,-0.04039872369054741,0.033257456781363146,0.22447031158948283,0.9604064260045876,0.8998005591139823,1.0250943876042455,risk-reducing,True,6,0.043078209034912995,0.9593750662958123,0.25653749895940897,False
Attr28,-0.04121397646387055,0.035291630904734216,0.24288276214736926,0.9596237710764188,0.8954899305966006,1.0283507949680823,risk-reducing,True,6,0.1614222369808962,0.9568938017377391,0.27202869360505355,False
Attr17,-0.03786450765791024,0.03522423259320819,0.2823943329890424,0.9628433899595463,0.8986130724088689,1.0316647087089954,risk-reducing,True,6,0.17229720930838244,0.959902102486766,0.31008005190953675,False
book_value_equity_to_liabilities,-0.03499528558395222,0.034984291336988986,0.3171584471643727,0.9656099685339674,0.9016190055924356,1.034142587444135,risk-reducing,True,6,0.17309271268768478,0.9626432737146139,0.34155525079240134,False
Attr59,0.014054704368133141,0.0313570795141042,0.6539982459355662,1.0141539360713203,0.9537019839435464,1.0784377335528677,risk-increasing,True,6,0.052570206795067076,1.0129249969285485,0.6910170145734285,False
Attr40,-0.008272464009686988,0.03261751042813128,0.7997888830429469,0.991761658663019,0.9303433106533924,1.0572346534133013,risk-reducing,True,6,0.15220086012683776,0.9889187885509004,0.8143304990982733,False
Attr60,0.008258870720782102,0.03118210699882424,0.7911178604761355,1.0082930692758905,0.9485157012651605,1.0718377272972381,risk-increasing,True,6,0.03995259861181644,1.0055731097733769,0.8143304990982733,False
Attr64,-0.002914017195913412,0.03210889016653178,0.9276878891502893,0.9970902244311373,0.9362747722339497,1.0618559264221152,risk-reducing,True,6,0.05412304176270655,0.9948105564201771,0.9276878891502893,False
