antecedents_str,consequents_str,support,confidence,lift,lift_vs_baseline,conf_safe,conf_diff
Attr38=LOW & Attr45=LOW,Attr46=LOW,0.20389249304911955,0.8239700374531835,1.5249805667443999,9.591347238565325,0.6321687541199736,0.1918012833332099
Attr63=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,0.2159406858202039,0.823321554770318,1.5343073533629934,9.583798635695269,0.6656084656084655,0.15771308916185245
Attr24=LOW & Attr38=LOW,Attr46=LOW,0.21501390176088972,0.8169014084507041,1.5118981470296908,9.509065514495685,0.6457949662369552,0.17110644221374893
Attr30=HIGH & Attr38=LOW,Attr46=LOW,0.22335495829471733,0.8114478114478114,1.5018047831083852,9.445583421487036,0.6829836829836831,0.12846412846412836
Attr30=HIGH & retained_earnings_to_assets=LOW,Attr26=LOW,0.20945319740500462,0.8071428571428572,1.5041574142610412,9.395471997881637,0.6599378881987578,0.1472049689440994
Attr57=LOW,Attr26=LOW,0.34754402224281744,0.8047210300429185,1.4996441993373215,9.36728094285362,0.6830660505572166,0.12165497948570192
Attr55=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,0.20296570898980537,0.8021978021978022,1.4949420182580806,9.337909541802036,0.6460674157303371,0.15613038646746513
Attr35=LOW & Attr38=LOW,Attr46=LOW,0.22335495829471733,0.8006644518272426,1.4818472444624267,9.320060718211462,0.6173205033308661,0.18334394849637647
Attr38=LOW & retained_earnings_to_assets=LOW,Attr46=LOW,0.21408711770157554,0.7993079584775087,1.4793366847293858,9.304270582462937,0.6221480244852532,0.1771599339922555
Attr25=LOW & Attr38=LOW,Attr46=LOW,0.25301204819277107,0.7982456140350876,1.4773705275194848,9.291904459945043,0.604978863316111,0.1932667507189767
Attr38=LOW & Attr56=LOW,Attr46=LOW,0.20018535681186284,0.7970479704797049,1.4751539625173269,9.277963400579328,0.6105188343994314,0.18652913608027344
Attr38=LOW & Attr52=HIGH,Attr46=LOW,0.22150139017608897,0.7966666666666666,1.4744482561463694,9.273524868705591,0.6223325062034739,0.17433416046319272
Attr30=HIGH & retained_earnings_to_assets=LOW,Attr35=LOW,0.20667284522706209,0.7964285714285715,1.46147351797862,9.2707533430425,0.567287784679089,0.22914078674948246
Attr38=LOW & Attr63=LOW,Attr46=LOW,0.23169601482854496,0.7961783439490446,1.4735444821972885,9.267840593141798,0.6292300147130947,0.16694832923594993
cash_to_current_liabilities=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,0.20296570898980537,0.7934782608695653,1.4786926484944058,9.236410525043318,0.6467605633802817,0.14671769748928365
Attr45=LOW & Attr63=LOW,Attr46=LOW,0.21316033364226136,0.7931034482758621,1.4678535517832851,9.232047553609664,0.6668587896253602,0.12624465865050194
Attr35=LOW & Attr52=HIGH,Attr46=LOW,0.21223354958294718,0.7923875432525952,1.4665285749048889,9.223714127203518,0.646805455850682,0.14558208740191314
Attr63=LOW & retained_earnings_to_assets=LOW,Attr35=LOW,0.20759962928637626,0.7915194346289751,1.4524650849739185,9.213608988822918,0.5809523809523809,0.21056705367659423
Attr26=LOW & Attr38=LOW,Attr46=LOW,0.23540315106580167,0.7912772585669783,1.4644736912414573,9.210789960705512,0.5882352941176472,0.2030419644493311
Attr57=LOW,Attr13=LOW,0.3410565338276182,0.7896995708154507,1.5188695845095745,9.192425031920354,0.6759989127480293,0.11370065806742147
Attr57=LOW,Attr35=LOW,0.3410565338276182,0.7896995708154507,1.4491255729759716,9.192425031920354,0.6322370209296004,0.1574625498858503
Attr13=LOW & Attr52=HIGH,Attr46=LOW,0.20481927710843373,0.7892857142857144,1.460787797108552,9.187607573149743,0.6473649967469095,0.14192071753880486
Attr25=LOW & Attr52=HIGH,Attr46=LOW,0.211306765523633,0.7889273356401384,1.4601245199926405,9.183435899573809,0.6652173913043479,0.12370994433579052
Attr30=HIGH & Attr49=LOW,Attr46=LOW,0.211306765523633,0.7862068965517242,1.4550896078547348,9.15176887923045,0.6297520661157024,0.1564548304360217
retained_earnings_to_assets=LOW & working_capital_to_assets=LOW,Attr26=LOW,0.20759962928637626,0.7859649122807016,1.4646910886889069,9.148952083638196,0.6533842794759825,0.1325806328047191
Attr49=LOW & Attr63=LOW,Attr46=LOW,0.21779425393883226,0.7859531772575251,1.4546200313222464,9.148815483183055,0.643598615916955,0.14235456134057012
Attr25=LOW & Attr63=LOW,Attr26=LOW,0.22798887859128822,0.7859424920127795,1.4646493072224338,9.148691102576933,0.650500790722193,0.13544170129058652
Attr25=LOW & Attr30=HIGH,Attr46=LOW,0.2242817423540315,0.7857142857142857,1.454177897574124,9.146034688203363,0.6379746835443038,0.14773960216998194
Attr13=LOW & Attr38=LOW,Attr46=LOW,0.2205746061167748,0.7854785478547854,1.4537416005751518,9.14329060338842,0.5726548129981607,0.21282373485662476
Attr25=LOW & Attr52=HIGH,Attr26=LOW,0.21037998146431883,0.7854671280276817,1.4637634389324155,9.143157671944099,0.6250000000000001,0.1604671280276816
Attr63=LOW & retained_earnings_to_assets=LOW,Attr46=LOW,0.20481927710843373,0.7809187279151942,1.4453024141003339,9.090212439865468,0.6523809523809524,0.12853777553424184
Attr24=LOW & Attr63=LOW,Attr46=LOW,0.21779425393883226,0.7807308970099668,1.44495478194469,9.088026011533998,0.666120218579235,0.1146106784307318
Attr63=LOW & retained_earnings_to_assets=LOW,Attr13=LOW,0.20389249304911955,0.7773851590106006,1.495184646296681,9.049080256879652,0.6042328042328041,0.17315235477779645
Attr25=LOW & Attr63=LOW,Attr46=LOW,0.22520852641334568,0.7763578274760383,1.4368612278673163,9.03712169888697,0.6647337901950449,0.11162403728099346
Attr30=HIGH & Attr45=LOW,Attr46=LOW,0.2057460611677479,0.7762237762237761,1.4366131295805395,9.035561287646551,0.6415410385259632,0.13468273769781292
Attr25=LOW & Attr30=HIGH,Attr26=LOW,0.22150139017608897,0.775974025974026,1.4460724939999552,9.032654092895058,0.6465822784810126,0.1293917474930134
Attr24=LOW & Attr30=HIGH,Attr46=LOW,0.21501390176088972,0.7759197324414716,1.4360504139011114,9.032022094036037,0.6538252848616386,0.12209444757983301
Attr52=HIGH & Attr55=LOW,Attr38=LOW,0.21408711770157554,0.7751677852348994,1.6728120805369127,9.023269121918755,0.6595542911332385,0.11561349410166089
Attr30=HIGH & retained_earnings_to_assets=LOW,Attr13=LOW,0.20111214087117701,0.775,1.4905971479500892,9.021316033364227,0.6086956521739131,0.16630434782608694
Attr13=LOW & Attr30=HIGH,Attr46=LOW,0.2196478220574606,0.7745098039215687,1.433440957858272,9.015609951116685,0.6341756919374248,0.1403341119841438
Attr30=HIGH & Attr35=LOW,Attr46=LOW,0.23169601482854496,0.7739938080495357,1.432485967213463,9.009603548750851,0.6167626359564938,0.15723117209304183
Attr55=LOW & Attr63=LOW,Attr26=LOW,0.22520852641334568,0.7714285714285715,1.4376017764618803,8.979743148417848,0.5749882463563705,0.196440325072201
Attr25=LOW & Attr45=LOW,Attr46=LOW,0.21037998146431883,0.7694915254237288,1.4241532691804517,8.9571951430232,0.5724400871459695,0.19705143827775928
Attr63=LOW & working_capital_to_assets=LOW,Attr26=LOW,0.2289156626506024,0.7694704049844237,1.4339526199968793,8.956949292497091,0.5896358543417367,0.17983455064268694
cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,Attr38=LOW,0.2381835032437442,0.7694610778443114,1.660497005988024,8.956840720782717,0.6380090497737556,0.13145202807055578
Attr13=LOW & Attr63=LOW,Attr46=LOW,0.22242817423540315,0.7692307692307693,1.423670668953688,8.954159834604692,0.6415552855407047,0.12767548369006454
Attr46=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,0.2242817423540315,0.7682539682539683,1.4316857197686215,8.942789472909956,0.6400476758045291,0.12820629244943915
Attr24=LOW & Attr25=LOW,Attr46=LOW,0.2289156626506024,0.767080745341615,1.4196914652205876,8.929132679787473,0.5658021133525456,0.20127863198906937
Attr26=LOW & Attr52=HIGH,Attr46=LOW,0.21872103799814643,0.7662337662337663,1.4181239001136086,8.919273497586751,0.6409959467284307,0.12523781950533552
Attr52=HIGH & Attr55=LOW,Attr26=LOW,0.211306765523633,0.7651006711409396,1.4258093681538409,8.906083808647082,0.5495495495495496,0.21555112159139
Attr38=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,0.20481927710843373,0.7647058823529411,1.4250736564055673,8.90148830616584,0.6249304396215916,0.13977544273134956
Attr30=HIGH & Attr38=LOW,Attr26=LOW,0.21037998146431883,0.7643097643097644,1.4243354675133606,8.896877330612272,0.608974358974359,0.15533540533540535
Attr55=LOW & cash_to_current_liabilities=LOW,Attr38=LOW,0.23354958294717332,0.7636363636363637,1.6479272727272727,8.889038672171203,0.6265560165975104,0.1370803470388533
