Rank,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,lift_vs_baseline,antecedents_str,consequents_str,has_distress,conf_safe,conf_diff,safe_ant_present,group_redundant,group_signature
1,"frozenset({'Attr38=LOW', 'Attr30=HIGH'})",frozenset({'Attr46=LOW'}),0.2623400365630713,0.5484460694698354,0.21572212065813529,0.8222996515679443,1.4993263646922186,1.0,0.07184275874054591,2.541097609061907,0.45147333711381343,0.36251920122887865,0.6064692688569454,0.6078164924506388,9.423373612163909,Attr30=HIGH & Attr38=LOW,Attr46=LOW,True,0.6766081871345029,0.1456914644334414,True,False,"(frozenset({3, 5}), frozenset({4}))"
2,"frozenset({'retained_earnings_to_assets=LOW', 'Attr38=LOW'})",frozenset({'Attr46=LOW'}),0.25502742230347347,0.5484460694698354,0.20840950639853748,0.8172043010752689,1.490035842293907,1.0,0.06854071902917361,2.4702656199591364,0.44145947691314186,0.35023041474654387,0.5951852335553526,0.5986021505376344,9.364982013327829,Attr38=LOW & retained_earnings_to_assets=LOW,Attr46=LOW,True,0.6181613085166385,0.19904299255863034,True,False,"(frozenset({2, 5}), frozenset({4}))"
3,"frozenset({'Attr38=LOW', 'Attr63=LOW'})",frozenset({'Attr46=LOW'}),0.27879341864716634,0.5484460694698354,0.22486288848263253,0.8065573770491804,1.4706229508196724,1.0,0.07195973383153584,2.3343042171474617,0.4437231444557793,0.37329286798179057,0.5716068228579015,0.6082786885245902,9.24297059969431,Attr38=LOW & Attr63=LOW,Attr46=LOW,True,0.6269762845849802,0.17958109246420018,True,False,"(frozenset({3, 5}), frozenset({4}))"
4,"frozenset({'retained_earnings_to_assets=LOW', 'Attr63=LOW'})",frozenset({'Attr12=LOW'}),0.2522851919561243,0.5045703839122486,0.20292504570383912,0.8043478260869565,1.5941241335853813,1.0,0.07562940954316213,2.5321958155596183,0.4984471023590828,0.36633663366336633,0.6050858334670304,0.6032608695652174,9.21764963039504,Attr63=LOW & retained_earnings_to_assets=LOW,Attr12=LOW,True,0.650105708245243,0.1542421178417135,True,False,"(frozenset({2, 3}), frozenset({6}))"
5,"frozenset({'Attr38=LOW', 'Attr25=LOW'})",frozenset({'Attr46=LOW'}),0.30255941499085925,0.5484460694698354,0.24314442413162707,0.8036253776435045,1.46527693856999,1.0,0.0772069021987975,2.29945155393053,0.4552863153953035,0.4,0.5651136905708379,0.6234793554884189,9.209370529722683,Attr25=LOW & Attr38=LOW,Attr46=LOW,True,0.6040205703599812,0.19960480728352326,True,False,"(frozenset({1, 5}), frozenset({4}))"
6,frozenset({'Attr57=LOW'}),frozenset({'Attr13=LOW'}),0.4351005484460695,0.5255941499085923,0.3491773308957952,0.8025210084033613,1.5268834490317864,1.0,0.12049102801052103,2.402310474930957,0.6108541317202932,0.5710014947683109,0.5837340716633472,0.7334344172451589,9.19671470050543,Attr57=LOW,Attr13=LOW,True,0.6888828189019394,0.1136381895014219,True,False,"(frozenset({7}), frozenset({6}))"
7,"frozenset({'Attr24=LOW', 'Attr38=LOW'})",frozenset({'Attr46=LOW'}),0.2586837294332724,0.5484460694698354,0.20749542961608775,0.8021201413427562,1.4625323910482924,1.0,0.06562135497261112,2.281960041786368,0.42661205777389105,0.3460365853658537,0.5617802320424602,0.5902267373380448,9.192120851932481,Attr24=LOW & Attr38=LOW,Attr46=LOW,True,0.6377171215880894,0.16440301975466687,True,False,"(frozenset({5, 6}), frozenset({4}))"
8,"frozenset({'retained_earnings_to_assets=LOW', 'Attr63=LOW'})",frozenset({'Attr46=LOW'}),0.2522851919561243,0.5484460694698354,0.2020109689213894,0.8007246376811594,1.459987922705314,1.0,0.06364614700761007,2.2659797241150077,0.4213676442930003,0.3374045801526718,0.5586897846623248,0.5845289855072464,9.17612868611398,Attr63=LOW & retained_earnings_to_assets=LOW,Attr46=LOW,True,0.6511627906976744,0.14956184698348507,True,False,"(frozenset({2, 3}), frozenset({4}))"
9,"frozenset({'Attr52=HIGH', 'Attr38=LOW'})",frozenset({'Attr46=LOW'}),0.2659963436928702,0.5484460694698354,0.2129798903107861,0.8006872852233677,1.4599198167239407,1.0,0.06709524111908399,2.265555065246171,0.4291952388842271,0.35410334346504563,0.5586070648468914,0.5945103092783506,9.175700635142011,Attr38=LOW & Attr52=HIGH,Attr46=LOW,True,0.616979269496545,0.18370801572682272,True,False,"(frozenset({3, 5}), frozenset({4}))"
10,"frozenset({'Attr38=LOW', 'Attr35=LOW'})",frozenset({'Attr46=LOW'}),0.273308957952468,0.5484460694698354,0.21846435100548445,0.7993311036789297,1.4574470457079152,1.0,0.06856912726555683,2.2502437538086526,0.43191494960658927,0.3621212121212121,0.5556036992403828,0.5988322185061314,9.160159092159727,Attr35=LOW & Attr38=LOW,Attr46=LOW,True,0.6296018031555222,0.1697293005234075,True,False,"(frozenset({5, 6}), frozenset({4}))"
