,group,is_risky,cluster,from_grade,to_grade,transition,high_risk_transition,Attr52,Attr49,Attr38,working_capital_to_assets,Attr30,Attr25,Attr13,Attr24,Attr35,retained_earnings_to_assets,Attr55,Attr41,Attr29,Attr56,Attr21,Attr12,cash_to_current_liabilities,Attr57,Attr63,Attr53,Attr58,Attr46
2253,risky_upgrade,1,1,CCC,B,CCC→B,1,0.43774,-0.018772,0.12991,0.081671,0.43801,0.051184,0.027926,0.038522,0.003018,0.0,659.0,-2.2021499999999996,3.9068,0.001575,1.0452,0.044795,-76.581,0.24192,2.2881,2.1517,0.97971,0.59922
2254,risky_upgrade,1,1,CCC,B,CCC→B,1,0.26044,0.061984,0.52574,-0.19905,0.45638,0.14218,0.054016,0.089522,0.14715,0.0,-7371.0,0.24679,4.5686,0.23902,1.0452,0.21964,-57.769,0.31664,4.0662,0.30249,0.78417,0.13808
2255,risky_upgrade,1,1,CCC,B,CCC→B,1,0.72416,-0.091895,0.046519,-0.34665,0.794,-0.45414,-0.14998,-0.17997,-0.10496,-0.43095,-6341.0,-0.28823,4.2623,0.026425,1.0452,-0.18875,-207.04,-2.9482139999999997,1.2585,0.11831,0.96751,0.4314
2256,risky_upgrade,1,1,B,BB,B→BB,1,0.56062,0.008599,0.42922,0.07811,0.71237,0.11239,0.020257,0.010984,0.019335,-0.017461,12253.0,0.97961,5.1955,0.019492,1.0452,0.020144,-90.07,0.043451,1.8192,0.56794,0.89153,0.73705
2257,risky_upgrade,1,1,CCC,B,CCC→B,1,0.60214,-0.03645,0.32441,-0.14715,0.79113,-0.16124,-0.044496,-0.073233,-0.16597,-0.19317,-700.0,0.95246,3.6773,-0.17378,1.0452,-0.10843,-87.455,-0.30505,1.4149,0.50914,1.0034,0.22782
2259,risky_upgrade,1,1,B,BB,B→BB,1,0.39952,0.0,0.7524,0.070537,0.56429,0.069773,-0.012484,-0.009726,-0.038106,0.0,463.49,-2.2021499999999996,3.8176,0.21049,1.0452,-0.039578,15.647,-0.017613,3.1703,0.80765,1.0055,1.1563
2260,risky_upgrade,1,1,CCC,B,CCC→B,1,0.30701,0.05107,0.47097,0.064415,0.42476,-0.11421,0.044584,-0.058064,-0.010316,-0.22377,1053.0,0.31293,4.2134,0.19339,0.96547,0.13372,-28.32,0.12722,2.9993,0.74884,0.77536,0.56849
2261,risky_upgrade,1,1,CCC,B,CCC→B,1,0.28058,0.039567,0.18384,0.33607,0.31215,0.043494,0.048104,0.11855,0.097653,-0.018694,239.46,0.27899,2.8528,0.039863,1.0452,0.17856,-89.361,0.24338,3.712,1.2053,0.9117,1.4615
2262,risky_upgrade,1,1,B,BB,B→BB,1,0.5657,-0.053622,0.34903,-0.033724,0.99742,0.068845,0.13803,0.017922,0.004103,0.0,-193.0,0.18633,3.7576,0.005144,1.0452,0.039059,-41.416,0.072559,1.7768,0.32441,0.94109,0.10739
2263,risky_upgrade,1,1,B,BB,B→BB,1,0.28494,0.063003,0.43124,0.24002,0.38503,0.21051,0.071157,0.11716,0.14886,-0.14559,4255.0,0.20933,4.2487,0.28117,1.0452,0.26318,-35.608,0.29422,3.6986,1.1071,0.72896,0.92562
2264,risky_upgrade,1,1,CCC,B,CCC→B,1,0.39831,-0.020167,0.69487,0.28123,0.90386,0.25226,-0.06312,-0.044683,-0.016366,0.0,2330.0,-1.5553,3.9183,0.38858,1.0452,-0.15266,-69.19,-0.13389,2.4186,0.78329,0.61496,1.5332
2265,risky_upgrade,1,1,B,BB,B→BB,1,0.19165,0.018978,0.63529,0.5345,0.1235,0.30854,0.000171,0.10755,0.038117,0.0,2084.0,0.33315,3.591,0.11199,1.0647,0.000908,57.287,-0.001583,5.3135,6.126,0.88631,0.99929
2266,risky_upgrade,1,1,B,BB,B→BB,1,0.2351,0.015715,0.46362,0.069325,0.22492,0.35829,0.005455,0.01397,0.038644,0.002093,827.12,0.48656,4.0767,0.1149,1.0452,0.02619,-43.729,0.024949,4.8007,1.0386,0.89633,0.48958
2269,risky_upgrade,1,1,CCC,B,CCC→B,1,0.1465,0.006736,0.45961,0.1328,0.24066,0.003016,0.004444,0.014522,0.01527,-0.028693,11714.0,1.2005,4.9455,0.17591,1.0452,0.030209,-8.8959,0.026762,6.7985,0.53581,0.81735,0.45824
2271,risky_upgrade,1,1,CCC,B,CCC→B,1,0.15789,0.004236,0.25567,-0.25033,0.14883,0.18558,0.002401,0.011348,0.22497,0.013351,-375.0,1.2389,3.1755,0.3074,1.0452,0.015247,-24.571,0.018277,6.3516,0.50528,0.7358,0.15067
2272,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.059408,0.076524,0.75687,0.62386,-0.043496,0.71313,0.078266,0.63115,0.33831,0.0,998.18,0.023952,3.2041,0.15726,1.184,1.4233,44.825,0.38227,18.186,5.6697,0.84141,2.2623
2273,risky_upgrade,1,1,CCC,B,CCC→B,1,0.19387,0.006179,0.25869,0.16066,0.34863,0.21417,0.034948,0.09117,0.042873,0.0,1057.0,0.29682,3.8182,0.019963,1.1786,0.093834,-27.55,0.13088,5.263,0.52661,0.97279,0.8424
2274,risky_upgrade,1,2,CCC,B,CCC→B,1,1.0713,-0.8681929,0.28043,-0.18061,3.9688,-1.1556,-0.5750552000000001,-1.034518,-0.04066,-1.880592,-4442.0,-0.071712,4.3908,0.5079,0.37993,-1.745,-144.7,-2.9482139999999997,0.293002,0.36973,1.6584000000000014,1.02665
2275,risky_upgrade,1,1,CCC,B,CCC→B,1,0.31125,0.052489,0.48879,-0.3141,0.31493,-0.26738,0.019836,0.03412,0.096003,-0.34945,-1351.0,0.21598,3.6336,0.24304,1.0452,0.067162,-81.447,0.082213,3.3858,0.51485,0.76058,0.19378
2276,risky_upgrade,1,1,B,BB,B→BB,1,0.50872,0.084149,0.3929,0.009781,2.2213,0.23452,0.057219,0.014633,0.028624,-0.036908,945.75,0.56672,4.9854,0.2931,1.3035,0.094027,-82.0,0.020126,2.7711,0.42461,0.78308,0.84352
