,group,is_risky,cluster,from_grade,to_grade,transition,high_risk_transition,Attr49,Attr38,retained_earnings_to_assets,working_capital_to_assets,Attr25,Attr24,Attr35,Attr13,Attr30,Attr52,Attr29,Attr56,Attr55,Attr21,Attr41,Attr12,Attr58,cash_to_current_liabilities,Attr57,Attr63,Attr47,Attr54,Attr15
2254,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.091895,0.046519,-0.43095,-0.34665,-0.45414,-0.17997,-0.10496,-0.14998,0.794,0.72416,4.2623,0.026425,-6341.0,1.0452,-0.28823,-0.18875,0.96751,-207.04,-2.9482139999999997,1.2585,113.68,0.11831,-1933.8
2255,risky_upgrade,1,1,B,BB,B→BB,1,0.008599,0.42922,-0.017461,0.07811,0.11239,0.010984,0.019335,0.020257,0.71237,0.56062,5.1955,0.019492,12253.0,1.0452,0.97961,0.020144,0.89153,-90.07,0.043451,1.8192,119.66,1.1396,14280.0
2257,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.03645,0.32441,-0.19317,-0.14715,-0.16124,-0.073233,-0.16597,-0.044496,0.79113,0.60214,3.6773,-0.17378,-700.0,1.0452,0.95246,-0.10843,1.0034,-87.455,-0.30505,1.4149,45.249,0.68802,-6521.2
2258,risky_upgrade,1,1,CCC,B,CCC→B,1,0.026081,0.1289,-0.33821,-0.57977,-0.31183,0.001409,-0.0938,0.001274,0.80282,0.59179,3.8642,0.15174,-4241.0,1.0452,1.0311,0.001966,0.76569,-197.49,0.013118,1.543,25.546,0.14943,37403.399999999994
2259,risky_upgrade,1,3,B,BB,B→BB,1,0.0,0.7524,0.0,0.070537,0.069773,-0.009726,-0.038106,-0.012484,0.56429,0.39952,3.8176,0.21049,463.49,1.0452,-2.2021499999999996,-0.039578,1.0055,15.647,-0.017613,3.1703,14.283,1.1005,-16805.0
2260,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.074899,0.29879,0.030427,-0.2053,0.09627,0.35269,0.20244,0.12796,0.41386,0.40317,4.0873,0.20869,0.69972,1.0297,0.097163,0.25816,0.80803,-98.676,0.81866,2.7504,51.529,0.57284,1189.8
2261,risky_upgrade,1,1,CCC,B,CCC→B,1,0.05107,0.47097,-0.22377,0.064415,-0.11421,-0.058064,-0.010316,0.044584,0.42476,0.30701,4.2134,0.19339,1053.0,0.96547,0.31293,0.13372,0.77536,-28.32,0.12722,2.9993,44.6,0.94005,3925.1
2262,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.12576,0.51285,-0.12192,0.26988,-0.2818,-0.1598,-0.1867,-0.078476,0.31058,0.24839,4.422,-0.12222,7132.0,1.0452,-0.14462,-0.37528,1.0961,-47.528,-0.31159,3.5874,99.293,1.6853,-1483.2
2264,risky_upgrade,1,1,B,BB,B→BB,1,-0.053622,0.34903,0.0,-0.033724,0.068845,0.017922,0.004103,0.13803,0.99742,0.5657,3.7576,0.005144,-193.0,1.0452,0.18633,0.039059,0.94109,-41.416,0.072559,1.7768,21.596,0.60733,2638.1
2265,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.088833,0.4243,0.22391,0.37885,0.3624,0.17252,0.20746,0.076995,0.26739,0.27576,3.7524,0.090489,2142.0,1.0452,0.098765,0.29977,0.91032,-40.84,0.3733,3.9871,106.5,9.2744,1298.6
2267,risky_upgrade,1,1,B,BB,B→BB,1,0.018978,0.63529,0.0,0.5345,0.30854,0.10755,0.038117,0.000171,0.1235,0.19165,3.591,0.11199,2084.0,1.0647,0.33315,0.000908,0.88631,57.287,-0.001583,5.3135,44.512,6.126,37403.399999999994
2269,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.16325,0.28562,0.0,-0.042658,0.15258,-0.15655,-0.087692,-0.12354,0.74985,0.68496,4.5379,0.10808,-1472.0,0.81904,-0.25758,-0.23528,0.9941,-180.11,-0.62305,1.5124,158.65,0.75804,-2264.6
2270,risky_upgrade,1,1,CCC,B,CCC→B,1,0.014091,-0.024459,-0.48609,0.076413,-0.29155,0.006197,0.034514,0.002297,0.4085,0.28341,3.6559,0.095121,346.0,1.0452,1.0356,0.007884,0.90536,-21.365,-0.033885,3.4324,29.356,-0.17761,37403.399999999994
2273,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.8681929,0.28043,-1.880592,-0.18061,-1.1556,-1.034518,-0.04066,-0.5750552000000001,3.9688,1.0713,4.3908,0.5079,-4442.0,0.37993,-0.071712,-1.745,1.6584000000000014,-144.7,-2.9482139999999997,0.293002,2.3412,0.52373,-240.34
2274,risky_upgrade,1,1,A,AA,A→AA,0,0.045606,0.52667,0.0,-0.034387,0.35929,0.1931,0.13622,0.15051,0.34768,0.29333,4.2239,0.077935,-575.8,1.0452,0.092215,0.40797,0.92969,-36.271,0.43945,3.6927,17.567,0.93871,843.14
2275,risky_upgrade,1,1,CCC,B,CCC→B,1,0.052489,0.48879,-0.34945,-0.3141,-0.26738,0.03412,0.096003,0.019836,0.31493,0.31125,3.6336,0.24304,-1351.0,1.0452,0.21598,0.067162,0.76058,-81.447,0.082213,3.3858,12.238,0.60637,6257.9
2276,risky_upgrade,1,1,CCC,B,CCC→B,1,0.084149,0.3929,-0.036908,0.009781,0.23452,0.014633,0.028624,0.057219,2.2213,0.50872,4.9854,0.2931,945.75,1.3035,0.56672,0.094027,0.78308,-82.0,0.020126,2.7711,47.023,0.44188,14177.0
2277,risky_upgrade,1,1,CCC,B,CCC→B,1,0.018328,0.33637,-0.17629,-0.010134,0.15975,0.031024,0.037434,0.01197,0.24693,0.18847,3.4414,0.19746,-28.0,1.0452,0.46552,0.064306,0.79987,-28.994,0.10315,5.3721,27.547,0.63789,7805.0
2278,risky_upgrade,1,1,B,BB,B→BB,1,0.044889,0.26204,0.0,-0.061528,0.21404,0.14912,0.21724,0.038926,0.1939,0.19412,3.8534,0.1118,-439.0,1.0452,0.14417,0.20941,0.90022,-29.792,0.54978,5.3796,23.817,0.74998,1820.5
2279,risky_upgrade,1,3,B,BB,B→BB,1,-0.034199,0.34274,-0.19193,0.08212,-0.23619,-0.044259,-0.023779,-0.003835,0.36731,0.35016,2.8394,-0.012945,56.74,1.0452,1.6087,-0.069754,1.0038,-20.211,-0.12913,2.8193,34.824,1.2094,-26372.28
2280,risky_upgrade,1,3,B,BB,B→BB,1,-0.40613,0.45437,0.0,-0.36055,0.43089,-0.16362,-0.16095,-0.090491,0.84555,0.67121,4.005,-0.24969,-3647.0,1.0452,-0.35515,-0.30261,1.2055,-267.34,-0.36793,1.1922,70.733,0.5542,-3414.3
2281,risky_upgrade,1,1,B,BB,B→BB,1,-0.00315,0.2737,-0.13554,0.39722,0.1814,0.072949,0.059769,0.080743,0.37149,0.22588,3.5006,0.029736,1258.0,1.0452,0.1452,0.16585,0.95927,-72.458,0.2801,4.5628,49.587,1.68,1686.3
2283,risky_upgrade,1,1,B,BB,B→BB,1,0.011289,0.39429,-0.002823,0.217,0.071998,0.018367,-0.000773,0.023004,0.4265,0.26007,4.4127,-0.000474,5612.0,1.0452,0.43656,0.043111,0.97748,-36.559,0.053437,3.827,65.125,1.1045,7224.7
2284,risky_upgrade,1,1,B,BB,B→BB,1,8e-06,0.45833,0.020089,-0.041939,0.029503,0.028733,0.048998,0.05074,0.63206,0.36471,4.2559,0.033972,-756.0,1.0629,0.32496,0.053243,0.96603,-64.487,0.68093,2.8383,50.851,0.91261,4548.4
2285,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.035866,0.63254,0.1213,0.10031,0.36558,0.031895,0.040151,0.024883,0.37711,0.27887,4.9189,0.074112,8322.0,1.0452,0.35876,0.090987,0.92156,-38.624,0.058289,3.6566,67.662,1.1519,5662.5
2288,risky_upgrade,1,1,CCC,B,CCC→B,1,0.057354,-0.34797,0.20613,-0.56168,-0.34797,0.20613,0.20422,0.07682,0.42884,0.45234,3.7717,0.025622,-3320.1,1.2825,0.19018,0.15292,0.97438,-108.73,-0.59239,2.2688,38.939,-1.6282,2094.2
2289,risky_upgrade,1,1,CCC,B,CCC→B,1,0.01394,0.34135,0.0,-0.016243,0.22217,0.00659,-0.005636,0.003297,0.32514,0.083258,3.4234,0.32346,-43.06,1.0452,0.78787,0.039492,0.66397,-16.708,0.001647,11.979,13.426,0.40183,36479.0
2290,risky_upgrade,1,2,B,BB,B→BB,1,-0.028926,0.96355,0.0,0.58897,0.93042,0.019145,0.013439,0.061881,-0.26065,0.03485,3.1787,0.012706,888.76,1.0452,0.020111,0.52337,0.98226,142.62,0.015344,28.514,63.671,2.5714,206.86
2291,risky_upgrade,1,1,CCC,B,CCC→B,1,0.008425,0.050528,0.013828,0.028717,0.050528,0.020344,0.03727,0.006797,0.02857,0.25394,4.2513,0.012134,512.14,1.2775,0.73187,0.021427,0.98787,-3.6251,0.27368,3.9863,6.4721,2.3166,13471.0
2292,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.15459,0.94607,0.0,0.26342,0.51941,-0.04241,-0.064084,-0.10231,-0.4928,0.11268,2.0689,0.9867157000000019,30.87,1.0452,-0.028051,-0.78639,0.0475312,197.3,-0.044827,7.6867,0.0,1.3859,-464.14
2293,risky_upgrade,1,1,B,BB,B→BB,1,-0.01367,0.39554,0.0,0.16557,0.006944,0.000608,0.031037,0.026688,0.18428,0.28016,2.7722,0.014331,98.0,1.0452,0.24264,0.001036,0.98506,-2.6326,-0.000854,3.6137,29.821,1.6001,3895.8
2294,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.012673,-0.13379,-0.11746,-0.11587,-0.16276,-0.039774,0.062312,-0.004238,0.26313,0.23937,3.237,0.01503,-200.0,1.0452,-2.2021499999999996,-0.039936,1.007,-29.393,0.33854,4.1414,19.24,-1.1135,-23676.0
