factor_id,layer,variable,definition,direction,OR_mle,rank_biserial,firth_fdr_q,trigger_bin,trigger_condition,trigger_pct,threshold_p33,threshold_p67,risky_median,safe_median
L1-01,1,equity_to_assets,equity_to_assets,risk-reducing,0.7493,0.1703,0.0,LOW,<= 0.2276,bottom 33%,0.2276,0.4725,0.2596,0.3497
L1-02,1,Attr51,Attr51,risk-increasing,1.319,-0.1522,0.0,HIGH,>= 0.6074,top 33%,0.3656,0.6074,0.5551,0.4745
L1-03,1,Attr62,Attr62,risk-increasing,1.2493,-0.1631,0.0,HIGH,>= 127.5226,top 33%,66.8827,127.5226,115.27,91.4875
L1-04,1,working_capital_to_assets,Attr3  — working capital / total assets,risk-reducing,0.7444,0.1658,0.0,LOW,<= -0.0224,bottom 33%,-0.0224,0.2024,0.0154,0.0898
L1-05,1,Attr32,Attr32,risk-increasing,1.2303,-0.1478,0.0,HIGH,>= 131.5084,top 33%,68.0529,131.5084,114.38,93.798
L1-06,1,Attr49,(net profit + depreciation) / total liabilities,risk-reducing,0.7899,0.147,0.0,LOW,<= -0.0241,bottom 33%,-0.0241,0.0157,-0.014,-0.0005
L1-07,1,total_liabilities_to_assets,total_liabilities_to_assets,risk-increasing,1.3399,-0.1731,0.0,HIGH,>= 0.7548,top 33%,0.5018,0.7548,0.7242,0.6282
L1-08,1,Attr38,total liabilities / total assets (alt),risk-reducing,0.7353,0.1781,0.0,LOW,<= 0.3419,bottom 33%,0.3419,0.5797,0.3784,0.4708
L1-09,1,retained_earnings_to_assets,Attr6  — retained earnings / total assets,risk-reducing,0.8117,0.1818,0.0,LOW,<= -0.0033,bottom 33%,-0.0033,0.0,0.0,0.0
L1-10,1,Attr42,Attr42,risk-reducing,0.7575,0.1965,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.0355,0.0043,0.0177
L1-11,1,Attr11,Attr11,risk-reducing,0.7187,0.2044,0.0,LOW,<= 0.0032,bottom 33%,0.0032,0.0732,0.0071,0.0392
L1-12,1,Attr48,Attr48,risk-reducing,0.7594,0.1627,0.0,LOW,<= -0.0398,bottom 33%,-0.0398,0.0322,-0.0281,-0.0013
L1-13,1,Attr25,equity / total assets (alt),risk-reducing,0.7435,0.2124,0.0,LOW,<= 0.0928,bottom 33%,0.0928,0.3526,0.1222,0.2303
L1-14,1,Attr31,Attr31,risk-reducing,0.7712,0.2152,0.0,LOW,<= -0.0009,bottom 33%,-0.0009,0.0344,0.0011,0.017
L1-15,1,Attr22,Attr22,risk-reducing,0.6924,0.2085,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.0676,0.0057,0.0336
L1-16,1,net_profit_to_assets,Attr1  — net profit / total assets,risk-reducing,0.706,0.2317,0.0,LOW,<= -0.0109,bottom 33%,-0.0109,0.0431,-0.0088,0.0169
L1-17,1,Attr18,Attr18,risk-reducing,0.6968,0.2345,0.0,LOW,<= -0.0102,bottom 33%,-0.0102,0.0528,-0.0096,0.0215
L1-18,1,ebit_to_assets,ebit_to_assets,risk-reducing,0.6968,0.2345,0.0,LOW,<= -0.0102,bottom 33%,-0.0102,0.0528,-0.0096,0.0215
L1-19,1,Attr14,Attr14,risk-reducing,0.6968,0.2345,0.0,LOW,<= -0.0102,bottom 33%,-0.0102,0.0528,-0.0096,0.0215
L1-20,1,Attr19,Attr19,risk-reducing,0.7513,0.2352,0.0,LOW,<= -0.0054,bottom 33%,-0.0054,0.0278,-0.0064,0.0115
L1-21,1,Attr13,gross profit + depreciation / sales,risk-reducing,0.7212,0.2702,0.0,LOW,<= 0.0106,bottom 33%,0.0106,0.0522,0.0068,0.0324
L1-22,1,Attr23,Attr23,risk-reducing,0.7605,0.2309,0.0,LOW,<= -0.0060,bottom 33%,-0.006,0.0229,-0.0058,0.0092
L1-23,1,Attr24,gross profit (3-year avg) / total assets,risk-reducing,0.776,0.2373,0.0,LOW,<= -0.0030,bottom 33%,-0.003,0.1416,0.0047,0.0686
L1-24,1,Attr39,Attr39,risk-reducing,0.725,0.2419,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.033,-0.0087,0.0156
L1-25,1,Attr35,total sales / total assets (alt),risk-reducing,0.658,0.2488,0.0,LOW,<= -0.0008,bottom 33%,-0.0008,0.0631,-0.0177,0.0284
L1-26,1,Attr30,total liabilities / cash,risk-increasing,1.1956,-0.151,2.149733382758803e-12,HIGH,>= 0.4253,top 33%,0.1945,0.4253,0.3681,0.2852
L1-27,1,Attr52,short-term liabilities / sales,risk-increasing,1.1761,-0.1142,1.7276721617118134e-10,HIGH,>= 0.3577,top 33%,0.1859,0.3577,0.3016,0.2568
L1-28,1,Attr55,profit on operating activities (×1000) / short-term liabilities,risk-reducing,0.7716,0.1911,2.9596369799378412e-09,LOW,<= -69.4560,bottom 33%,-69.456,1172.971,21.815,310.045
L1-29,1,Attr41,short-term liabilities / total assets,risk-reducing,0.7838,0.1607,3.334356055629855e-09,LOW,<= 0.0694,bottom 33%,0.0694,0.2253,0.0659,0.1371
L1-30,1,Attr56,net profit / total assets - ROA,risk-reducing,0.8385,0.1143,8.143464154860188e-09,LOW,<= 0.0002,bottom 33%,0.0002,0.0449,0.0102,0.0217
L1-31,1,Attr29,log(total assets),risk-reducing,0.8369,0.0872,4.17699311698023e-08,LOW,<= 3.5651,bottom 33%,3.5651,4.244,3.8296,3.9198
L1-32,1,Attr12,gross profit / short-term liabilities,risk-reducing,0.7975,0.2371,1.2858874927634822e-06,LOW,<= -0.0191,bottom 33%,-0.0191,0.121,-0.0227,0.0456
L1-33,1,Attr16,Attr16,risk-reducing,0.7491,0.2834,1.346813206505887e-05,LOW,<= 0.0283,bottom 33%,0.0283,0.1747,0.0152,0.1022
L1-34,1,Attr57,total assets / current liabilities,risk-reducing,0.8734,0.1002,1.3516214402715536e-05,LOW,<= 0.0037,bottom 33%,0.0037,0.1595,0.0263,0.0675
L1-35,1,Attr26,Attr26,risk-reducing,0.7764,0.2839,5.491881480850225e-05,LOW,<= 0.0255,bottom 33%,0.0255,0.1595,0.0154,0.0934
L1-36,1,Attr63,sales / short-term liabilities,risk-reducing,0.8781,0.1657,0.0016986837136881,LOW,<= 2.8381,bottom 33%,2.8381,5.4176,3.1004,3.9628
L1-37,1,Attr21,sales (t) / sales (t-1),risk-reducing,0.9012,0.082,0.0035372692059978,LOW,<= 0.9630,bottom 33%,0.963,1.0763,1.0452,1.0452
L1-38,1,Attr58,total costs / total sales,risk-increasing,1.094,-0.0598,0.0065116555864061,HIGH,>= 0.9992,top 33%,0.9597,0.9992,0.9864,0.9824
L1-39,1,Attr15,total liabilities × 365 / (gross profit + depreciation),risk-reducing,0.9217,0.1361,0.0196798482399258,LOW,<= 535.1793,bottom 33%,535.1793,2679.826,458.115,1499.95
L1-40,1,cash_to_current_liabilities,Attr5  — cash / current liabilities,risk-reducing,0.9314,0.1333,0.033227825974557,LOW,<= -61.0043,bottom 33%,-61.0043,-2.893,-45.708,-26.7895
