factor_id,layer,antecedents_str,consequents_str,n_conditions,conditions_detail,support,confidence,lift_vs_baseline,conf_safe,conf_diff,cond1_var,cond1_bin,cond1_p33,cond1_p67,cond2_var,cond2_bin,cond2_p33,cond2_p67,cond3_var,cond3_bin,cond3_p33,cond3_p67
L2-01,2,Attr24=LOW & cash_to_current_liabilities=LOW,Attr54=LOW,2,Attr24 <= -0.0026 AND cash_to_current_liabilities <= -60.1522,0.2117,0.8619,10.1023,0.7548,0.1071,Attr24,LOW,-0.002604,0.146265,cash_to_current_liabilities,LOW,-60.15224,-2.086096,,,,
L2-02,2,Attr15=LOW & cash_to_current_liabilities=LOW,Attr54=LOW,2,Attr15 <= 512.1524 AND cash_to_current_liabilities <= -60.1522,0.2117,0.8524,9.9905,0.7422,0.1102,Attr15,LOW,512.1524,2596.648,cash_to_current_liabilities,LOW,-60.15224,-2.086096,,,,
L2-03,2,Attr35=LOW & cash_to_current_liabilities=LOW,Attr54=LOW,2,Attr35 <= -0.0004 AND cash_to_current_liabilities <= -60.1522,0.2191,0.8475,9.9333,0.7291,0.1185,Attr35,LOW,-0.000435,0.06357,cash_to_current_liabilities,LOW,-60.15224,-2.086096,,,,
L2-04,2,Attr13=LOW & cash_to_current_liabilities=LOW,Attr55=LOW,2,Attr13 <= 0.0102 AND cash_to_current_liabilities <= -60.1522,0.2191,0.8445,9.8982,0.7409,0.1036,Attr13,LOW,0.010188,0.05342,cash_to_current_liabilities,LOW,-60.15224,-2.086096,,,,
L2-05,2,Attr49=LOW & cash_to_current_liabilities=LOW,Attr54=LOW,2,Attr49 <= -0.0233 AND cash_to_current_liabilities <= -60.1522,0.2026,0.8371,9.8114,0.7248,0.1124,Attr49,LOW,-0.023292,0.016572,cash_to_current_liabilities,LOW,-60.15224,-2.086096,,,,
L2-06,2,Attr54=LOW & Attr56=LOW,Attr38=LOW,2,Attr54 <= 0.8507 AND Attr56 <= 0.0003,0.2053,0.8029,9.41,0.6865,0.1163,Attr54,LOW,0.85072,1.4715,Attr56,LOW,0.000325,0.045691,,,,
L2-07,2,Attr57=LOW,Attr35=LOW,1,Attr57 <= 0.0049,0.3391,0.8009,9.3865,0.6267,0.1742,Attr57,LOW,0.004891,0.162942,,,,,,,,
L2-08,2,Attr63=LOW & retained_earnings_to_assets=LOW,Attr12=LOW,2,Attr63 <= 2.8037 AND retained_earnings_to_assets <= -0.0029,0.2071,0.7875,9.2293,0.647,0.1405,Attr63,LOW,2.803652,5.368754,retained_earnings_to_assets,LOW,-0.002947,0.0,,,,
L2-09,2,Attr55=LOW & retained_earnings_to_assets=LOW,Attr12=LOW,2,Attr55 <= -58.9968 AND retained_earnings_to_assets <= -0.0029,0.2071,0.782,9.1655,0.6502,0.1318,Attr55,LOW,-58.99682,1157.858,retained_earnings_to_assets,LOW,-0.002947,0.0,,,,
L2-10,2,Attr54=LOW & cash_to_current_liabilities=LOW,Attr38=LOW,2,Attr54 <= 0.8507 AND cash_to_current_liabilities <= -60.1522,0.2401,0.7751,9.0851,0.6654,0.1097,Attr54,LOW,0.85072,1.4715,cash_to_current_liabilities,LOW,-60.15224,-2.086096,,,,
L2-11,2,Attr30=HIGH & Attr54=LOW,Attr38=LOW,2,Attr30 >= 0.4228 AND Attr54 <= 0.8507,0.2163,0.7662,8.9806,0.6521,0.1141,Attr30,HIGH,0.195442,0.422849,Attr54,LOW,0.85072,1.4715,,,,
L2-12,2,retained_earnings_to_assets=LOW & working_capital_to_assets=LOW,Attr12=LOW,2,retained_earnings_to_assets <= -0.0029 AND working_capital_to_assets <= -0.0225,0.2099,0.7659,8.9765,0.644,0.1219,retained_earnings_to_assets,LOW,-0.002947,0.0,working_capital_to_assets,LOW,-0.022458,0.203405,,,,
L2-13,2,Attr52=HIGH & working_capital_to_assets=LOW,Attr38=LOW,2,Attr52 >= 0.3646 AND working_capital_to_assets <= -0.0225,0.2081,0.7643,8.958,0.6631,0.1013,Attr52,HIGH,0.187095,0.364612,working_capital_to_assets,LOW,-0.022458,0.203405,,,,
L2-14,2,cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,Attr38=LOW,2,cash_to_current_liabilities <= -60.1522 AND working_capital_to_assets <= -0.0225,0.2374,0.7618,8.9282,0.6336,0.1281,cash_to_current_liabilities,LOW,-60.15224,-2.086096,working_capital_to_assets,LOW,-0.022458,0.203405,,,,
L2-15,2,cash_to_current_liabilities=LOW,Attr55=LOW,1,cash_to_current_liabilities <= -60.1522,0.3116,0.7606,8.9149,0.6562,0.1044,cash_to_current_liabilities,LOW,-60.15224,-2.086096,,,,,,,,
L2-16,2,Attr52=HIGH & Attr55=LOW,Attr38=LOW,2,Attr52 >= 0.3646 AND Attr55 <= -58.9968,0.2044,0.7585,8.89,0.6481,0.1104,Attr52,HIGH,0.187095,0.364612,Attr55,LOW,-58.99682,1157.858,,,,
L2-17,2,Attr30=HIGH & working_capital_to_assets=LOW,Attr25=LOW,2,Attr30 >= 0.4228 AND working_capital_to_assets <= -0.0225,0.2099,0.7533,8.8289,0.6369,0.1163,Attr30,HIGH,0.195442,0.422849,working_capital_to_assets,LOW,-0.022458,0.203405,,,,
