,layer,variable,definition,direction,OR_mle,rank_biserial,firth_fdr_q,trigger_condition,trigger_pct,antecedents_str,confidence,lift_vs_baseline,conditions_detail,conf_diff
L1-01,1,Attr51,Attr51,risk-increasing,1.3354,-0.1597,0.0,>= 0.6068,top 33%,Attr51,,,,
L1-02,1,equity_to_assets,equity_to_assets,risk-reducing,0.7398,0.1724,0.0,<= 0.2269,bottom 33%,equity_to_assets,,,,
L1-03,1,total_liabilities_to_assets,total_liabilities_to_assets,risk-increasing,1.3512,-0.1736,0.0,>= 0.7539,top 33%,total_liabilities_to_assets,,,,
L1-04,1,Attr52,short-term liabilities / sales,risk-increasing,1.2267,-0.1273,0.0,>= 0.3546,top 33%,Attr52,,,,
L1-05,1,Attr62,Attr62,risk-increasing,1.3015,-0.177,0.0,>= 126.7684,top 33%,Attr62,,,,
L1-06,1,Attr49,(net profit + depreciation) / total liabilities,risk-reducing,0.7801,0.1647,0.0,<= -0.0220,bottom 33%,Attr49,,,,
L1-07,1,Attr38,total liabilities / total assets (alt),risk-reducing,0.7269,0.1858,0.0,<= 0.3427,bottom 33%,Attr38,,,,
L1-08,1,working_capital_to_assets,Attr3  — working capital / total assets,risk-reducing,0.7147,0.1893,0.0,<= -0.0200,bottom 33%,working_capital_to_assets,,,,
L1-09,1,Attr30,total liabilities / cash,risk-increasing,1.2399,-0.164,0.0,>= 0.4179,top 33%,Attr30,,,,
L1-10,1,Attr48,Attr48,risk-reducing,0.763,0.1716,0.0,<= -0.0382,bottom 33%,Attr48,,,,
L1-11,1,Attr11,Attr11,risk-reducing,0.7261,0.2175,0.0,<= 0.0034,bottom 33%,Attr11,,,,
L1-12,1,Attr22,Attr22,risk-reducing,0.7051,0.2178,0.0,<= 0.0000,bottom 33%,Attr22,,,,
L1-13,1,Attr25,equity / total assets (alt),risk-reducing,0.7391,0.2192,0.0,<= 0.0901,bottom 33%,Attr25,,,,
L1-14,1,Attr31,Attr31,risk-reducing,0.7746,0.2233,0.0,<= -0.0001,bottom 33%,Attr31,,,,
