,group,is_risky,default,from_grade,to_grade,transition,year_horizon,l1_count,l2_count,total_warnings,any_warning
0,safe_upgrade,0,0,BBB,A,BBB→A,1,1,0,1,1
2,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
4,safe_upgrade,0,0,CCC,B,CCC→B,1,41,15,56,1
6,safe_upgrade,0,0,BBB,A,BBB→A,1,1,0,1,1
7,safe_upgrade,0,0,BBB,A,BBB→A,1,1,0,1,1
8,safe_upgrade,0,0,CCC,B,CCC→B,1,39,16,55,1
9,safe_upgrade,0,0,CCC,B,CCC→B,1,41,15,56,1
10,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
11,safe_upgrade,0,0,BB,BBB,BB→BBB,1,10,1,11,1
12,safe_upgrade,0,0,BB,BBB,BB→BBB,1,14,0,14,1
14,safe_upgrade,0,0,CCC,B,CCC→B,1,41,16,57,1
15,safe_upgrade,0,0,CCC,B,CCC→B,1,30,2,32,1
16,safe_upgrade,0,0,B,BB,B→BB,1,15,10,25,1
17,safe_upgrade,0,0,B,BB,B→BB,1,10,1,11,1
18,safe_upgrade,0,0,CCC,B,CCC→B,1,20,4,24,1
19,safe_upgrade,0,0,CCC,B,CCC→B,1,28,3,31,1
20,safe_upgrade,0,0,B,BB,B→BB,1,14,10,24,1
21,safe_upgrade,0,0,BBB,A,BBB→A,1,4,0,4,1
22,safe_upgrade,0,0,CCC,B,CCC→B,1,39,15,54,1
23,safe_upgrade,0,0,A,AA,A→AA,1,15,0,15,1
24,safe_upgrade,0,0,B,BB,B→BB,1,26,1,27,1
26,safe_upgrade,0,0,CCC,B,CCC→B,1,7,1,8,1
27,safe_upgrade,0,0,BB,BBB,BB→BBB,1,3,0,3,1
28,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
29,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
32,safe_upgrade,0,0,BB,BBB,BB→BBB,1,12,5,17,1
33,safe_upgrade,0,0,CCC,B,CCC→B,1,41,15,56,1
35,safe_upgrade,0,0,CCC,B,CCC→B,1,38,8,46,1
36,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
37,safe_upgrade,0,0,BBB,A,BBB→A,1,4,0,4,1
38,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
39,safe_upgrade,0,0,BBB,A,BBB→A,1,11,5,16,1
40,safe_upgrade,0,0,A,AA,A→AA,1,3,1,4,1
41,safe_upgrade,0,0,BB,BBB,BB→BBB,1,8,0,8,1
43,safe_upgrade,0,0,CCC,B,CCC→B,1,19,16,35,1
44,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
45,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
46,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
48,safe_upgrade,0,0,CCC,B,CCC→B,1,38,7,45,1
49,safe_upgrade,0,0,A,AA,A→AA,1,4,0,4,1
50,safe_upgrade,0,0,B,BB,B→BB,1,0,0,0,0
51,safe_upgrade,0,0,B,BB,B→BB,1,20,1,21,1
52,safe_upgrade,0,0,B,BB,B→BB,1,8,1,9,1
53,safe_upgrade,0,0,B,BB,B→BB,1,10,1,11,1
54,safe_upgrade,0,0,B,BB,B→BB,1,4,0,4,1
56,safe_upgrade,0,0,BB,BBB,BB→BBB,1,5,2,7,1
57,safe_upgrade,0,0,B,BB,B→BB,1,31,11,42,1
58,safe_upgrade,0,0,CCC,B,CCC→B,1,41,16,57,1
59,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
61,safe_upgrade,0,0,A,AA,A→AA,1,0,0,0,0
62,safe_upgrade,0,0,BB,BBB,BB→BBB,1,24,1,25,1
63,safe_upgrade,0,0,A,AA,A→AA,1,2,0,2,1
64,safe_upgrade,0,0,BB,BBB,BB→BBB,1,12,3,15,1
66,safe_upgrade,0,0,BBB,A,BBB→A,1,1,0,1,1
67,safe_upgrade,0,0,CCC,B,CCC→B,1,9,0,9,1
68,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
69,safe_upgrade,0,0,BBB,A,BBB→A,1,5,0,5,1
71,safe_upgrade,0,0,CCC,B,CCC→B,1,13,1,14,1
72,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
73,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
74,safe_upgrade,0,0,BBB,A,BBB→A,1,20,1,21,1
75,safe_upgrade,0,0,CCC,B,CCC→B,1,10,2,12,1
76,safe_upgrade,0,0,CCC,B,CCC→B,1,20,16,36,1
77,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
79,safe_upgrade,0,0,BB,BBB,BB→BBB,1,14,1,15,1
80,safe_upgrade,0,0,B,BB,B→BB,1,5,0,5,1
81,safe_upgrade,0,0,A,AA,A→AA,1,2,0,2,1
84,safe_upgrade,0,0,CCC,B,CCC→B,1,6,0,6,1
85,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
88,safe_upgrade,0,0,BB,BBB,BB→BBB,1,7,3,10,1
89,safe_upgrade,0,0,A,AA,A→AA,1,2,0,2,1
90,safe_upgrade,0,0,B,BB,B→BB,1,26,1,27,1
91,safe_upgrade,0,0,CCC,B,CCC→B,1,14,5,19,1
92,safe_upgrade,0,0,BB,BBB,BB→BBB,1,13,8,21,1
93,safe_upgrade,0,0,B,BB,B→BB,1,14,5,19,1
94,safe_upgrade,0,0,BB,BBB,BB→BBB,1,3,0,3,1
95,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
96,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
97,safe_upgrade,0,0,A,AA,A→AA,1,7,0,7,1
102,safe_upgrade,0,0,BB,BBB,BB→BBB,1,6,1,7,1
103,safe_upgrade,0,0,CCC,B,CCC→B,1,17,8,25,1
104,safe_upgrade,0,0,B,BB,B→BB,1,18,15,33,1
105,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
106,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
107,safe_upgrade,0,0,B,BB,B→BB,1,8,0,8,1
108,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
110,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
111,safe_upgrade,0,0,B,BB,B→BB,1,16,12,28,1
