factor_id,layer,variable,direction,n_triggered_train,n_hit_train,hit_rate_train,lift_train,coverage_train,n_triggered_holdout,n_hit_holdout,hit_rate_holdout,lift_holdout,coverage_holdout
L2-09,2,Attr35=LOW & Attr38=LOW,composite,1630,299,0.1834,2.102,0.2733,415,74,0.1783,2.431,0.319
L2-20,2,Attr30=HIGH & Attr35=LOW,composite,1851,318,0.1718,1.969,0.2907,504,81,0.1607,2.191,0.3491
L2-15,2,Attr35=LOW & Attr52=HIGH,composite,1687,283,0.1678,1.922,0.2587,433,69,0.1594,2.173,0.2974
L2-29,2,Attr35=LOW & Attr63=LOW,composite,1920,322,0.1677,1.922,0.2943,502,84,0.1673,2.281,0.3621
L2-22,2,Attr35=LOW & Attr53=LOW,composite,1802,298,0.1654,1.895,0.2724,450,78,0.1733,2.363,0.3362
L2-13,2,Attr12=LOW & Attr38=LOW,composite,1760,291,0.1653,1.895,0.266,462,67,0.145,1.977,0.2888
L2-16,2,Attr13=LOW & Attr38=LOW,composite,1903,308,0.1618,1.855,0.2815,480,77,0.1604,2.187,0.3319
L2-23,2,Attr13=LOW & Attr63=LOW,composite,1956,310,0.1585,1.816,0.2834,511,78,0.1526,2.081,0.3362
L2-25,2,Attr13=LOW & Attr30=HIGH,composite,1975,311,0.1575,1.805,0.2843,535,76,0.1421,1.937,0.3276
L2-07,2,Attr24=LOW & Attr38=LOW,composite,1895,283,0.1493,1.711,0.2587,500,67,0.134,1.827,0.2888
L1-43,1,Attr46,risk-reducing,4137,600,0.145,1.662,0.5484,1032,133,0.1289,1.757,0.5733
L2-19,2,Attr49=LOW & Attr63=LOW,composite,2043,295,0.1444,1.655,0.2697,545,73,0.1339,1.826,0.3147
L2-01,2,Attr30=HIGH & Attr38=LOW,composite,1997,287,0.1437,1.647,0.2623,534,71,0.133,1.813,0.306
L1-22,1,Attr35,risk-reducing,4136,589,0.1424,1.632,0.5384,1033,136,0.1317,1.795,0.5862
L1-32,1,Attr16,risk-reducing,4137,588,0.1421,1.629,0.5375,1061,139,0.131,1.786,0.5991
L2-24,2,Attr12=LOW & Attr53=LOW,composite,2046,289,0.1413,1.619,0.2642,534,71,0.133,1.813,0.306
L1-35,1,Attr26,risk-reducing,4138,583,0.1409,1.615,0.5329,1071,137,0.1279,1.744,0.5905
L1-20,1,Attr39,risk-reducing,4155,585,0.1408,1.613,0.5347,1032,133,0.1289,1.757,0.5733
L2-17,2,Attr30=HIGH & Attr49=LOW,composite,2095,293,0.1399,1.603,0.2678,589,74,0.1256,1.713,0.319
L1-17,1,Attr13,risk-reducing,4138,575,0.139,1.592,0.5256,1047,134,0.128,1.745,0.5776
L2-02,2,Attr38=LOW & retained_earnings_to_assets=LOW,composite,2052,279,0.136,1.558,0.255,538,70,0.1301,1.774,0.3017
L1-29,1,Attr41,risk-reducing,4136,559,0.1352,1.549,0.511,1048,125,0.1193,1.626,0.5388
L2-14,2,Attr25=LOW & Attr30=HIGH,composite,2257,305,0.1351,1.549,0.2788,611,74,0.1211,1.651,0.319
L2-11,2,Attr25=LOW & Attr63=LOW,composite,2206,297,0.1346,1.543,0.2715,576,78,0.1354,1.846,0.3362
L2-05,2,Attr25=LOW & Attr38=LOW,composite,2470,331,0.134,1.536,0.3026,641,82,0.1279,1.744,0.3534
L2-26,2,retained_earnings_to_assets=LOW & working_capital_to_assets=,composite,2169,290,0.1337,1.532,0.2651,547,70,0.128,1.745,0.3017
L1-34,1,Attr12,risk-reducing,4138,552,0.1334,1.529,0.5046,1083,127,0.1173,1.599,0.5474
L1-21,1,Attr19,risk-reducing,4137,550,0.1329,1.524,0.5027,1079,125,0.1158,1.579,0.5388
L1-16,1,Attr23,risk-reducing,4135,543,0.1313,1.505,0.4963,1068,123,0.1152,1.57,0.5302
L1-25,1,ebit_to_assets,risk-reducing,4138,543,0.1312,1.504,0.4963,1085,126,0.1161,1.583,0.5431
L1-24,1,Attr18,risk-reducing,4138,543,0.1312,1.504,0.4963,1085,126,0.1161,1.583,0.5431
L1-23,1,Attr14,risk-reducing,4138,543,0.1312,1.504,0.4963,1085,126,0.1161,1.583,0.5431
L2-03,2,Attr38=LOW & Attr63=LOW,composite,2329,305,0.131,1.501,0.2788,617,76,0.1232,1.679,0.3276
L2-12,2,Attr25=LOW & Attr52=HIGH,composite,2147,281,0.1309,1.5,0.2569,565,71,0.1257,1.713,0.306
L1-19,1,net_profit_to_assets,risk-reducing,4138,537,0.1298,1.487,0.4909,1075,124,0.1153,1.573,0.5345
L1-11,1,Attr11,risk-reducing,4139,537,0.1297,1.487,0.4909,1048,120,0.1145,1.561,0.5172
L1-14,1,Attr31,risk-reducing,4139,535,0.1293,1.481,0.489,1070,120,0.1121,1.529,0.5172
L1-18,1,Attr24,risk-reducing,4137,530,0.1281,1.468,0.4845,1056,117,0.1108,1.511,0.5043
L2-10,2,Attr30=HIGH & retained_earnings_to_assets=LOW,composite,2187,279,0.1276,1.462,0.255,573,67,0.1169,1.594,0.2888
L2-04,2,Attr63=LOW & retained_earnings_to_assets=LOW,composite,2168,276,0.1273,1.459,0.2523,560,70,0.125,1.704,0.3017
L2-21,2,Attr55=LOW & Attr63=LOW,composite,2473,312,0.1262,1.446,0.2852,638,85,0.1332,1.816,0.3664
L2-08,2,Attr38=LOW & Attr52=HIGH,composite,2317,291,0.1256,1.439,0.266,612,73,0.1193,1.626,0.3147
L1-40,1,Attr54,risk-reducing,4138,515,0.1245,1.426,0.4707,1053,116,0.1102,1.502,0.5
L1-13,1,Attr25,risk-reducing,4137,514,0.1242,1.424,0.4698,1042,115,0.1104,1.505,0.4957
L2-18,2,Attr53=LOW & cash_to_current_liabilities=LOW,composite,2563,318,0.1241,1.422,0.2907,683,85,0.1245,1.697,0.3664
L2-28,2,cash_to_current_liabilities=LOW & working_capital_to_assets=,composite,2802,343,0.1224,1.403,0.3135,739,89,0.1204,1.642,0.3836
L1-06,1,Attr49,risk-reducing,4138,503,0.1216,1.393,0.4598,1063,117,0.1101,1.501,0.5043
L2-27,2,Attr52=HIGH & Attr55=LOW,composite,2454,298,0.1214,1.392,0.2724,637,81,0.1272,1.734,0.3491
L1-07,1,Attr38,risk-reducing,4137,499,0.1206,1.382,0.4561,1078,112,0.1039,1.416,0.4828
L1-08,1,working_capital_to_assets,risk-reducing,4137,497,0.1201,1.377,0.4543,1072,123,0.1147,1.564,0.5302
L1-41,1,Attr28,risk-reducing,4138,496,0.1199,1.374,0.4534,1059,121,0.1143,1.558,0.5216
