metric,mean,std,min,max,n_folds
n_L1,43.0,1.7320508075688772,40.0,44.0,5
n_L2,25.8,13.989281611290838,16.0,49.0,5
n_total_factors,68.8,14.788509052639485,58.0,93.0,5
baseline_dr_train,0.08637661970447039,0.0009803709070532927,0.08532102917025104,0.08756884343036979,5
baseline_dr_holdout,0.08087952706493376,0.004394161574701122,0.0733480872589314,0.08404966571155682,5
q1_dr_0_train,0.030499377583574135,0.00509481742185438,0.025974025974025976,0.03664921465968586,5
q1_dr_0_holdout,0.030579088595091557,0.011162662747231374,0.016260162601626018,0.046875,5
q1_dr_50p_train,0.17652329703137887,0.018025466922424564,0.15092348284960422,0.19636363636363635,5
q1_dr_50p_holdout,0.17640748722484656,0.02608623563565802,0.13785557986870897,0.20987654320987653,5
q2_mean_gap,0.006142465699532164,0.005996524022734659,-0.001724977293925763,0.013557563080646378,5
q2_std_gap,0.0067150000517690765,0.0005595305906142458,0.0061536812558401115,0.007606108168436621,5
q3_coverage_t1_train,0.9818791855063843,0.006538926252981957,0.9748427672955975,0.9925857275254866,5
q3_coverage_t1_holdout,0.9796632428763727,0.010816622065043092,0.9659090909090909,0.9923076923076923,5
q3_precision_t1_train,0.08937431076392317,0.0016951653948405713,0.08741429970617041,0.091,5
q3_precision_t1_holdout,0.08355959737241511,0.004175332600159972,0.0765,0.08675184936112978,5
q4_ccc_b_f1_train,0.2893113823842118,0.005867282154609674,0.28324946081955427,0.2968,5
q4_ccc_b_f1_holdout,0.2786907558727213,0.012962771794602021,0.2624618514750763,0.29149797570850206,5
q5_ratio_train,4.805442983863162,0.6978498894900473,4.019172317044657,5.429667254068622,5
q5_ratio_holdout,5.053624599561354,2.244490734192708,3.4250764525993884,8.950288184438039,5
